id:ID(Drug),label,iri,chebi_id,atc_code,drug_type,drug_class,primary_indication,secondary_indications,mechanism_summary,status_overall,approved_regions,source,raw_source_ids
abvac40,ABvac40,https://www.alzforum.org/therapeutics/abvac40,,,Immunotherapy (active),Amyloid-Related,Alzheimer's Disease,,ABvac40 is an investigational vaccine targeting the C terminus of Aβ40. This construct comprises multiple repeats of a synthetic peptide corresponding to amino acids 33-40 of Aβ40.,ongoing,,AlzForum.Therapeutics,abvac40
acd856,ACD856,https://www.alzforum.org/therapeutics/acd856,,,Small Molecule,Other,Alzheimer's Disease,,"This small molecule is a positive allosteric modulator of Trk receptors, which mediate the effects of BDNF, NGF, and other neurotrophic factors. ACD856 increases the kinase activity of Trk receptors and enhances the effects of BDNF or NGF on survival, neuronal function, and synaptic plasticity.",ongoing,,AlzForum.Therapeutics,acd856
acetyl-l-carnitine-hci,Acetyl-l-carnitine HCI,https://www.alzforum.org/therapeutics/acetyl-l-carnitine-hci,,,"Supplement, Dietary",Other,Alzheimer's Disease,,"ALCAR is a naturally occurring substance. It can be metabolized to acetyl-COA by the carnitine transferase reaction and may serve as an alternative source of fuel for the citric-acid cycle, thus promoting aerobic energy metabolism, reducing tissue acidosis.",discontinued,,AlzForum.Therapeutics,acetyl-l-carnitine-hci
aci-24060,ACI-24.060,https://www.alzforum.org/therapeutics/aci-24060,,,Immunotherapy (active),Amyloid-Related,"Alzheimer's Disease, Down's Syndrome",,"ACI-24 is a liposome vaccine designed to elicit an antibody response against aggregated Aβ peptides without concomitant pro-inflammatory T cell activation. This vaccine grew out of work with tetrapalmitoylated preparations of N-terminal Aβ fragments, which rapidly stimulated anti-Aβ antibodies that dissolve amyloid fibers in vitro and in vivo.",ongoing,,AlzForum.Therapeutics,aci-24060
aci-3024,ACI-3024,https://www.alzforum.org/therapeutics/aci-3024,,,Small Molecule,Tau,"Alzheimer's Disease, Other Tauopathy",,"ACI-3024 is a small-molecule inhibitor of tau aggregation. It originated from screening of AC Immune’s proprietary compound library of low-molecular-weight compounds that disrupt Aβ-sheet structures ( Kroth et al., 2012 ).",ongoing,,AlzForum.Therapeutics,aci-3024
aci-7104056,ACI-7104.056,https://www.alzforum.org/therapeutics/aci-7104056,,,Immunotherapy (active),alpha-synuclein,"Parkinson's Disease, Multiple System Atrophy",,"PD01A is an active vaccine to α-synuclein. The immunogen is an eight amino acid peptide that mimics an epitope in the C-terminal region of human α-synuclein, but with a different amino acid sequence.",ongoing,,AlzForum.Therapeutics,aci-7104056
acitretin,Acitretin,https://www.alzforum.org/therapeutics/acitretin,,,Small Molecule,Amyloid-Related,Alzheimer's Disease,Psoriasis in US,"Acitretin is a retinoid drug used primarily to treat severe psoriasis. It can cause birth defects and other side effects typical of vitamin A overdose, including hair loss, elevated triglyceride levels, and drying of mucosal membranes, and therefore is used only in patients who do not respond to less-toxic psoriasis drugs.",ongoing,,AlzForum.Therapeutics,acitretin
acp-204,ACP-204,https://www.alzforum.org/therapeutics/acp-204,,,Small Molecule,Other Neurotransmitters,Alzheimer's Disease,,ACP-204 acts as an inverse agonist at the 5-HT2A serotonin receptor. It is currently being developed for the treatment of Alzheimer’s disease psychosis.,ongoing,,AlzForum.Therapeutics,acp-204
adel-y01,ADEL-Y01,https://www.alzforum.org/therapeutics/adel-y01,,,Immunotherapy (passive),Tau,Alzheimer's Disease,,"ADEL-Y01 is a humanized IgG1 monoclonal antibody that binds tau protein modified by acetylation at lysine residue 280. Tau acetylation at lysine residues is associated with protein aggregation and pathology in various tauopathies, including Alzheimer’s disease (e.g.",ongoing,,AlzForum.Therapeutics,adel-y01
aduhelm,Aduhelm,https://www.alzforum.org/therapeutics/aduhelm,,,Immunotherapy (passive),Amyloid-Related,Alzheimer's Disease,,"BIIB037 is a high-affinity, fully human IgG1 monoclonal antibody against a conformational epitope found on Aβ. It was originally derived by the biotech company Neurimmune in Schlieren, Switzerland, from healthy, aged donors who were cognitively normal.",approved,,AlzForum.Therapeutics,aduhelm
af-102b,AF 102B,https://www.alzforum.org/therapeutics/af-102b,,,Small Molecule,Cholinergic System,Alzheimer's Disease,Treatment of dry mouth in Sjogren's syndrome.,Hypo-activity of the cholinergic system is associated AD and cognitive decline. Two different strategies have been used to increase cholinergic acitvity in the AD brain: 1) acetylcholinesterase inhibitors and 2) direct stimulation of cholinergic receptors.,discontinued,,AlzForum.Therapeutics,af-102b
affitope-ad02,Affitope AD02,https://www.alzforum.org/therapeutics/affitope-ad02,,,Immunotherapy (active),Amyloid-Related,Alzheimer's Disease,,"Affitope AD02 is a synthetic peptide of six amino acids that mimics the N-terminus of Aβ. AFFiRiS hypothesizes that this fragment enables exclusive recognition of Aβ without cross-reacting with APP, and hence may have a favorable safety profile.",discontinued,,AlzForum.Therapeutics,affitope-ad02
agb101,AGB101,https://www.alzforum.org/therapeutics/agb101,,,Small Molecule,Amyloid-Related,MCI-AD,,"AGB101 is a proprietary, once-daily, extended-release, low-dose formulation of the FDA-approved atypical anti-convulsant medication levetiracetam. According to AgeneBio, AGB101 corresponds to roughly 1/12 of the dose typically prescribed for epilepsy, and the drug's mechanism of action is inhibition of the synaptic protein SV2A.",ongoing,,AlzForum.Therapeutics,agb101
ait-101,AIT-101,https://www.alzforum.org/therapeutics/ait-101,,,Small Molecule,Other,Amyotrophic Lateral Sclerosis,,"AIT-101 is a proprietary oral formulation of apilimod, an inhibitor of the phosphatidylinositol phosphate kinase PIKfyve. This lipid kinase phosphorylates signaling molecules in early endosomes that control endosomal function and fusion with lysosomes.",ongoing,,AlzForum.Therapeutics,ait-101
akst4290,AKST4290,https://www.alzforum.org/therapeutics/akst4290,,,Small Molecule,Inflammation,Parkinson's Disease,,AKST4290 is an antagonist of the G protein-coupled C-C chemokine receptor type 3 (CCR3). Blocking CCR3 is expected to have broad anti-inflammatory and immune-modulating effects.,ongoing,,AlzForum.Therapeutics,akst4290
al002,AL002,https://www.alzforum.org/therapeutics/al002,,,Immunotherapy (passive),Inflammation,Alzheimer's Disease,,"This humanized monoclonal IgG1 antibody was being developed in a partnership between Alector and AbbVie. It binds the microglial receptor TREM2 and activates signaling, increasing phosphorylation of TREM2's downstream effector Syk, and inducing microglia proliferation.",discontinued,,AlzForum.Therapeutics,al002
al003,AL003,https://www.alzforum.org/therapeutics/al003,,,Immunotherapy (passive),Inflammation,Alzheimer's Disease,,"AL003 is a monoclonal antibody that was being co-developed by Alector and Abbvie. According to Alector, it counteracts the function of sialic acid binding immunoglobulin-like lectin 3, aka Siglec-3, an inhibitory microglial transmembrane receptor that reportedly interacts with TREM2 ( Oct 2015 news ).",discontinued,,AlzForum.Therapeutics,al003
al044,AL044,https://www.alzforum.org/therapeutics/al044,,,Immunotherapy (passive),Inflammation,Alzheimer's Disease,,"AL044 is an antibody targeting the MSA4 family of transmembrane cell surface proteins expressed on microglia. MS4A gene variants are associated with the risk of late-onset Alzheimer’s disease ( Hollingworth et al., 2011 ; Antúnez et al., 2011 ; Zhu et al., 2017 ; Ma et al., 2019 ).",ongoing,,AlzForum.Therapeutics,al044
al101,AL101,https://www.alzforum.org/therapeutics/al101,,,Immunotherapy (passive),Other,Alzheimer's Disease,,"AL101 is a monoclonal antibody to sortilin (SORT1), a trans-Golgi sorting receptor abundantly expressed in the nervous system. This IgG1 antibody is being developed to treat Alzheimer’s disease.",ongoing,,AlzForum.Therapeutics,al101
alia-1758,ALIA-1758,https://www.alzforum.org/therapeutics/alia-1758,,,Immunotherapy (passive),Amyloid-Related,Alzheimer's Disease,,ALIA-1758 is a bispecific antibody construct. It comprises an anti-Aβ antibody fused with a transferrin receptor antibody that facilitates entry into the brain.,ongoing,,AlzForum.Therapeutics,alia-1758
allopregnanolone,Allopregnanolone,https://www.alzforum.org/therapeutics/allopregnanolone,,,Small Molecule,"Other Neurotransmitters, Other","Alzheimer's Disease, Parkinson's Disease",,"Allopregnanolone is a neurosteroid metabolite of progesterone. It is an allosteric modulator of inhibitory γ-aminobutyric acid (GABA-A) receptors on neural stem cells and other cell types in the brain ( Luchetti et al., 2011 ).",ongoing,,AlzForum.Therapeutics,allopregnanolone
alpha-tocopherol,Alpha-Tocopherol,https://www.alzforum.org/therapeutics/alpha-tocopherol,,,"Supplement, Dietary",Other,Alzheimer's Disease,,Vitamin E is a lipophilic monophenolic compound that can donate a hydrogen atom to saturate and detoxify the unpaired electron of a free radical. It is thought to protect against brain cell damage by destroying toxic free radicals.,ongoing,,AlzForum.Therapeutics,alpha-tocopherol
alx-001,ALX-001,https://www.alzforum.org/therapeutics/alx-001,,,Small Molecule,"Amyloid-Related, Other Neurotransmitters",Alzheimer's Disease,,"ALX-001 is an allosteric modulator of the metabotropic glutamate receptor type 5 (mGluR5). Originally developed by Bristol Myers Squibb as a potential treatment for schizophrenia, the compound is now in testing for AD.",ongoing,,AlzForum.Therapeutics,alx-001
alz-101,ALZ-101,https://www.alzforum.org/therapeutics/alz-101,,,Immunotherapy (active),Amyloid-Related,Alzheimer's Disease,,"This candidate vaccine is designed to provoke an immune response specific to soluble oligomeric Aβ assemblies, but not to monomeric or fibrillar Aβ. A proprietary protein-engineering technology uses disulfide bonds to cross-link Aβ peptides into a conformation that assembles into stable, soluble oligomers or protofibrils ( Sandberg et al., 2010 ; Dubnovitsky et al., 2013 ).",ongoing,,AlzForum.Therapeutics,alz-101
alz-801,ALZ-801,https://www.alzforum.org/therapeutics/alz-801,,,Small Molecule,Amyloid-Related,Alzheimer's Disease,,"This is a prodrug of homotaurine, a modified amino acid previously developed under the names tramiprosate and Alzhemed™. ALZ-801 is converted to homotaurine in vivo, but is more easily absorbed and lasts longer in the blood than tramiprosate.",ongoing,,AlzForum.Therapeutics,alz-801
alzhemedtm,Alzhemed™,https://www.alzforum.org/therapeutics/alzhemedtm,,,"Supplement, Dietary",Amyloid-Related,Alzheimer's Disease,,"Alzhemed was designed as an anti-amyloid therapy. It is a patented variant of the amino acid taurine, which is reported to inhibit the interaction of Aβ with endogenous glycosaminoglycans and thereby prevent β-sheet formation.",discontinued,,AlzForum.Therapeutics,alzhemedtm
alzt-op1,ALZT-OP1,https://www.alzforum.org/therapeutics/alzt-op1,,,"Combination, Small Molecule","Amyloid-Related, Inflammation",Alzheimer's Disease,,"ALZT-OP1 is a combination regimen of two FDA-approved drugs, cromolyn (designated ALZT OP1a) and ibuprofen (designated ALZT OP1b). In the ALZT-OP1 regimen, cromolyn is delivered via an oral, dry-powder inhaler; ibuprofen is swallowed separately as an oral tablet.",ongoing,,AlzForum.Therapeutics,alzt-op1
ambroxol,Ambroxol,https://www.alzforum.org/therapeutics/ambroxol,,,Small Molecule,"alpha-synuclein, Other","Parkinson's Disease, Parkinson's Disease Dementia, Dementia with Lewy Bodies",,"Ambroxol is a mucolytic compound and the main ingredient of over-the-counter cough medicines sold in many countries. Syrup, tablet, and other forms are used at doses of 30 to 120 mg per day to reduce or thin mucous secretions and ease sore throat pain.",ongoing,,AlzForum.Therapeutics,ambroxol
amilomotide,Amilomotide,https://www.alzforum.org/therapeutics/amilomotide,,,Immunotherapy (active),Amyloid-Related,Alzheimer's Disease,,"This is an active vaccination strategy that aims to elicit a strong antibody response while avoiding inflammatory T cell activation (reviewed in Lemere and Masliah, 2010 ). CAD106 combines multiple copies of Aβ1-6 peptide derived from the N-terminal B cell epitope of Aβ, coupled to a Qβ virus-like particle.",unknown,,AlzForum.Therapeutics,amilomotide
an-1792,AN-1792,https://www.alzforum.org/therapeutics/an-1792,,,Immunotherapy (active),Amyloid-Related,Alzheimer's Disease,,AN-1792 was the first active immunotherapy strategy for Alzheimer's disease. AN-1792 consists of synthetic full-length Aβ peptide with QS-21 adjuvant.,discontinued,,AlzForum.Therapeutics,an-1792
anpd001,ANPD001,https://www.alzforum.org/therapeutics/anpd001,,,Other,Other Neurotransmitters,Parkinson's Disease,,ANPD001 is a dopaminergic neuron replacement therapy derived from a patient’s own tissue. Fibroblasts from a skin biopsy are converted into pluripotent stem cells and then differentiated into dopaminergic neuron precursor cells.,ongoing,,AlzForum.Therapeutics,anpd001
anx005,ANX005,https://www.alzforum.org/therapeutics/anx005,,,Immunotherapy (passive),"Inflammation, Other",Amyotrophic Lateral Sclerosis,,"ANX005 is a humanized IgG4 monoclonal antibody that binds with high affinity to the complement C1q protein and inhibits initiation of the classical complement cascade. Given by intravenous infusion, the antibody is in development to treat autoimmune and neurodegenerative disorders.",ongoing,,AlzForum.Therapeutics,anx005
apabetalone,Apabetalone,https://www.alzforum.org/therapeutics/apabetalone,,,Small Molecule,Other,MCI-VaD,,"Apabetalone binds and inhibits bromodomain and extra-terminal domain (BET) proteins, preventing them from binding acetylated lysines in histones to activate gene transcription. In published papers, apabetalone is reported to increase expression of ApoA-1 and suppress genes associated with kidney disease and vascular calcification ( McLure et al., 2013 ; Wasiak et al., 2018 ; Gilham et al., 2019 ).",ongoing,,AlzForum.Therapeutics,apabetalone
apnmab005,APNmAb005,https://www.alzforum.org/therapeutics/apnmab005,,,Immunotherapy (passive),Tau,Alzheimer's Disease,,"This is a humanized monoclonal anti-tau IgG antibody that recognizes a conformational epitope in tau oligomers. It was generated by immunizing mice with oligomers encapsulated in artificial lipid vesicles, in an effort to elicit antibodies that would bind to, and clear, tau oligomers from synapses.",ongoing,,AlzForum.Therapeutics,apnmab005
aqneursa,AQNEURSA,https://www.alzforum.org/therapeutics/aqneursa,,,Small Molecule,"Inflammation, Other","Niemann-Pick Diseases, Ataxia, Lysosomal Storage Diseases, Nervous System",Neurological symptoms of Niemann-Pick Disease Type C,"N-acetyl-L-leucine is a modified derivative and prodrug of the naturally occurring essential amino acid leucine. In September 2024, the FDA approved this formulation of the pure L-leucine isomer to treat neurologic symptoms of the lysosomal storage disease Niemann-Pick type C in adults and children.",approved,,AlzForum.Therapeutics,aqneursa
aqw051,AQW051,https://www.alzforum.org/therapeutics/aqw051,,,Small Molecule,Cholinergic System,"Alzheimer's Disease, Parkinson's Disease, Schizophrenia",,"AQW 051 is an α7 nicotinic acetylcholine receptor (nAChR) agonist for the oral treatment of cognitive deficits in schizophrenia, Alzheimer's, and Parkinson's diseases. Very little is known about this drug.",ongoing,,AlzForum.Therapeutics,aqw051
ar1001,AR1001,https://www.alzforum.org/therapeutics/ar1001,,,Small Molecule,Other,Alzheimer's Disease,,"Ar1001 is a selective inhibitor of phosphodiesterase 5. This new pyrrolo-pyrimidinone was first developed for treatment of erectile dysfunction in South Korea, and is now being tested for Alzheimer’s disease.",ongoing,,AlzForum.Therapeutics,ar1001
arimoclomol,Arimoclomol,https://www.alzforum.org/therapeutics/arimoclomol,,,Small Molecule,"Cholesterol, Other","Niemann-Pick Diseases, Amyotrophic Lateral Sclerosis, Gaucher Disease",Niemann-Pick Disease Type C,"Arimoclomol is a small molecule that improves lysosome function. By stimulating normal cellular protein processing and repair pathways, it affects protein aggregation and clearance of misfolded proteins.",approved,,AlzForum.Therapeutics,arimoclomol
aripiprazole,Aripiprazole,https://www.alzforum.org/therapeutics/aripiprazole,,,Small Molecule,Other Neurotransmitters,"Alzheimer's Disease, Schizophrenia",,"Aripiprazole is an antipsychotic medication that was FDA-approved in 2002 for the treatment of schizophrenia and is widely used for related affective disorders, as well. Generic versions started becoming available in 2015.",approved,,AlzForum.Therapeutics,aripiprazole
arv-102,ARV-102,https://www.alzforum.org/therapeutics/arv-102,,,Small Molecule,Other,Parkinson's Disease,,"ARV-102 is an oral, brain-penetrant small molecule that induces the degradation of leucine-rich repeat kinase 2 (LRRK2) protein. Increased LRRK2 expression and kinase activity impair lysosome function, promote neuroinflammation, and contribute to neurodegeneration and the pathogenesis of Parkinson’s disease.",ongoing,,AlzForum.Therapeutics,arv-102
asn51,ASN51,https://www.alzforum.org/therapeutics/asn51,,,Small Molecule,Tau,Alzheimer's Disease,,"ASN51 is a small-molecule inhibitor of O-GlycNAcase (OGA), the glycoside hydrolase enzyme that removes O-linked N-acetylglucosamine (N-GlcNAc) from proteins. Asceneuron was developing ASN51 as a potential treatment for Alzheimer’s and Parkinson’s diseases.",unknown,,AlzForum.Therapeutics,asn51
asn90,ASN90,https://www.alzforum.org/therapeutics/asn90,,,Small Molecule,Tau,Progressive Supranuclear Palsy,,"ASN90 is an inhibitor of O-GlcNAcase, the glycoside hydrolase enzyme that removes O-linked N-acetylglucosamine (N-GlcNAc) from proteins. The function of numerous proteins is regulated by O-linked glycosylation of serine and threonine residues, which is reversed by O-GlcNAcase.",ongoing,,AlzForum.Therapeutics,asn90
atabecestat,Atabecestat,https://www.alzforum.org/therapeutics/atabecestat,,,Small Molecule,Amyloid-Related,Alzheimer's Disease,,"This is a tablet drug affecting amyloid precursor protein (APP) and its processing products. It inhibits APP cleavage by the enzyme BACE, the rate-limiting step in Aβ generation.",discontinued,,AlzForum.Therapeutics,atabecestat
atb2005a,ATB2005A,https://www.alzforum.org/therapeutics/atb2005a,,,Small Molecule,Tau,"Alzheimer's Disease, Progressive Supranuclear Palsy",,"This small molecule combines a tau-binding domain with a peptide that stimulates autophagy to activate degradation of intracellular tau aggregates. It is being investigated as a treatment for tauopathies including Alzheimer’s disease, and progressive supranuclear palsy.",ongoing,,AlzForum.Therapeutics,atb2005a
atomoxetine,Atomoxetine,https://www.alzforum.org/therapeutics/atomoxetine,,,Small Molecule,Other Neurotransmitters,"Alzheimer's Disease, Parkinson's Disease",ADHD in US,Atomoxetine is a norepinephrine uptake inhibitor. It blocks a norepinephrine transporter and boosts noradrenaline levels in the brain.,ongoing,,AlzForum.Therapeutics,atomoxetine
atorvastatin,Atorvastatin,https://www.alzforum.org/therapeutics/atorvastatin,,,Small Molecule,Cholesterol,Alzheimer's Disease,Hypercholesterolaemia,"Atorvastatin is an oral statin drug that was developed by Pfizer’s predecessor, Parke-Davis. It is marketed under different names for hypercholesterolemia worldwide, including the United States, European Union, and Japan.",unknown,,AlzForum.Therapeutics,atorvastatin
atuzaginstat,Atuzaginstat,https://www.alzforum.org/therapeutics/atuzaginstat,,,Small Molecule,Other,Alzheimer's Disease,,"This small molecule is an orally available protease inhibitor targeting the lysine proteases of the periodontal pathogen Porphyromonas gingivalis. Known as gingipains, these proteases penetrate gingival tissue and cause inflammation at the site of periodontitis ( O'Brien-Simpson et al., 2009 ).",discontinued,,AlzForum.Therapeutics,atuzaginstat
autologous-adipose-derived-stem-cells,Autologous Adipose-derived Stem Cells,https://www.alzforum.org/therapeutics/autologous-adipose-derived-stem-cells,,,Other,Other,Alzheimer's Disease,,This approach uses mesenchymal stem cells isolated from a patient’s own fat tissue to treat neurodegenerative diseases. The stem cells are supposed to assist in repair of damaged tissue and regeneration of cells.,ongoing,,AlzForum.Therapeutics,autologous-adipose-derived-stem-cells
av-1959d,AV-1959D,https://www.alzforum.org/therapeutics/av-1959d,,,Immunotherapy (active),Amyloid-Related,Alzheimer's Disease,,AV-1959D is an NIH-funded DNA vaccine designed to elicit antibodies to Aβ peptides without activating potentially harmful autoreactive T cells. This vaccine fuses coding sequences of three copies of Aβ1-11 to 12 T-cell-activating epitopes.,ongoing,,AlzForum.Therapeutics,av-1959d
av-1980ra,AV-1980R/A,https://www.alzforum.org/therapeutics/av-1980ra,,,Immunotherapy (active),Tau,Alzheimer's Disease,,AV-1980R/A is recombinant protein-based tau vaccine designed to elicit antibodies to pathologic tau. It fuses three copies of a tau2-18 peptide to 12 T-cell activating antigens.,ongoing,,AlzForum.Therapeutics,av-1980ra
avagacestat,Avagacestat,https://www.alzforum.org/therapeutics/avagacestat,,,Small Molecule,Amyloid-Related,Alzheimer's Disease,,"This arylsulfonamide γ-secretase inhibitor was reported to selectively block processing of the enzyme's APP substrate, relatively sparing Notch processing. Notch is a transmembrane receptor whose signaling is important for cell-fate decisions in the intestine and in lymphocyte maturation.",discontinued,,AlzForum.Therapeutics,avagacestat
avb-101,AVB-101,https://www.alzforum.org/therapeutics/avb-101,,,DNA/RNA-based,Other,Frontotemporal Dementia,,AVB-101 is a gene therapy designed to deliver a copy of the human progranulin gene to the brain. It is being tested in people with frontotemporal dementia due to pathogenic progranulin mutations.,ongoing,,AlzForum.Therapeutics,avb-101
avp-786,AVP-786,https://www.alzforum.org/therapeutics/avp-786,,,"Combination, Small Molecule",Other Neurotransmitters,"Alzheimer's Disease, Schizophrenia",,"This investigational therapeutic is a deuterated, second-generation version of AVP-923 /Nuedexta, a fixed-dose combination of two approved drugs. Both AVP-923 and AVP-786 contain dextromethorphan, the active ingredient in several brands of cough syrup.",discontinued,,AlzForum.Therapeutics,avp-786
avp-923,AVP-923,https://www.alzforum.org/therapeutics/avp-923,,,"Combination, Small Molecule",Other Neurotransmitters,"Alzheimer's Disease, Amyotrophic Lateral Sclerosis, Parkinson's Disease",,"AVP-923 is a fixed-dose combination of two approved drugs. One is dextromethorphan, the active ingredient in several brands of cough syrup.",ongoing,,AlzForum.Therapeutics,avp-923
axs-05,AXS-05,https://www.alzforum.org/therapeutics/axs-05,,,"Combination, Small Molecule",Other Neurotransmitters,Alzheimer's Disease,Major depressive disorder,"AXS-05 is a fixed-dose combination of two approved drugs being developed for the treatment of agitation in people with Alzheimer’s disease. One component, dextromethorphan, is the active ingredient in several brands of cough syrup.",ongoing,,AlzForum.Therapeutics,axs-05
azd1446,AZD1446,https://www.alzforum.org/therapeutics/azd1446,,,Small Molecule,Cholinergic System,Alzheimer's Disease,,AZD1446 selectively activates the α4β2 subtype of nicotinic acetylcholine receptor.,discontinued,,AlzForum.Therapeutics,azd1446
azd3293,Lanabecestat,https://www.alzforum.org/therapeutics/azd3293,,,Small Molecule,Amyloid-Related,Alzheimer's Disease,,"AZD3293 is an inhibitor of BACE1, the β-secretase sheddase that cleaves the APP protein to release APP's C99 fragment. This fragment then becomes a substrate for subsequent γ-secretase cleavage and Aβ peptide generation.",discontinued,,AlzForum.Therapeutics,azd3293
azd3480,AZD3480,https://www.alzforum.org/therapeutics/azd3480,,,Small Molecule,Cholinergic System,Alzheimer's Disease,,,unknown,,AlzForum.Therapeutics,azd3480
azeliragon,Azeliragon,https://www.alzforum.org/therapeutics/azeliragon,,,Small Molecule,"Amyloid-Related, Inflammation",Alzheimer's Disease,,"Azeliragon is an oral, small-molecule inhibitor of RAGE, a cell-surface receptor of the immunoglobulin superfamily. Expressed on multiple cell types, RAGE binds advanced glycation end products (AGEs); these are modified forms of lipids and proteins that become glycated when exposed to sugars.",discontinued,,AlzForum.Therapeutics,azeliragon
bapineuzumab,Bapineuzumab,https://www.alzforum.org/therapeutics/bapineuzumab,,,Immunotherapy (passive),Amyloid-Related,Alzheimer's Disease,,"Bapineuzumab is a humanized form of murine monoclonal antibody 3D6, which targets the N-terminal region of Aβ. The rationale of this passive immunotherapy approach is that antibody binding will clear excess Aβ.",discontinued,,AlzForum.Therapeutics,bapineuzumab
