therapeutic_id,name,url,synonyms,fda_statuses,companies,target_types,therapy_types,approved_for,source_search_ids
abt-418,ABT 418,https://www.alzforum.org/therapeutics/abt-418,,Alzheimer's Disease (Discontinued),,Cholinergic System,Small Molecule,None,?fda_statuses[]=189&target_types[]=172 | ?target_types[]=172 | ?fda_statuses[]=189&therapy_types[]=166 | ?therapy_types[]=166
abt-957,ABT-957,https://www.alzforum.org/therapeutics/abt-957,Alicapistat,Alzheimer's Disease (Discontinued),AbbVie,Other,Small Molecule,,?fda_statuses[]=189&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=189&therapy_types[]=166 | ?therapy_types[]=166
abvac40,ABvac40,https://www.alzforum.org/therapeutics/abvac40,,Alzheimer's Disease (Phase 2),Araclon Biotech,Amyloid-Related,Immunotherapy (active),,?fda_statuses[]=182&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=182&therapy_types[]=161 | ?therapy_types[]=161
acd856,ACD856,https://www.alzforum.org/therapeutics/acd856,,Alzheimer's Disease (Phase 1),AlzeCure Pharma AB,Other,Small Molecule,,?fda_statuses[]=181&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=181&therapy_types[]=166 | ?therapy_types[]=166
acetyl-l-carnitine-hci,Acetyl-l-carnitine HCI,https://www.alzforum.org/therapeutics/acetyl-l-carnitine-hci,ALCAR,Alzheimer's Disease (Discontinued),Sigma-Tau Pharmaceuticals,Other,"Supplement, Dietary",,?fda_statuses[]=189&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=189&therapy_types[]=163 | ?therapy_types[]=163
aci-24060,ACI-24.060,https://www.alzforum.org/therapeutics/aci-24060,"ACI-24, Pal1-15 acetate salt","Alzheimer's Disease (Phase 2), Down's Syndrome (Phase 2)","AC Immune SA, Takeda Pharmaceutical Company",Amyloid-Related,Immunotherapy (active),,?fda_statuses[]=182&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=182&therapy_types[]=161 | ?therapy_types[]=161
aci-3024,ACI-3024,https://www.alzforum.org/therapeutics/aci-3024,Tau MorphomerTM,"Alzheimer's Disease (Inactive), Other Tauopathy (Phase 0)",AC Immune SA,Tau,Small Molecule,,?fda_statuses[]=190&target_types[]=177 | ?target_types[]=177 | ?fda_statuses[]=190&therapy_types[]=166 | ?therapy_types[]=166
aci-7104056,ACI-7104.056,https://www.alzforum.org/therapeutics/aci-7104056,"ACI-7104, Affitope PD01A, PD03A","Parkinson's Disease (Phase 2), Multiple System Atrophy (Phase 1)","AC Immune SA, AFFiRiS AG",alpha-synuclein,Immunotherapy (active),,?fda_statuses[]=181&therapy_types[]=161 | ?fda_statuses[]=182&therapy_types[]=161 | ?therapy_types[]=161
acitretin,Acitretin,https://www.alzforum.org/therapeutics/acitretin,"Soriatane , Neotigason, RO 101670",Alzheimer's Disease (Phase 2),"Actavis, Allergan plc",Amyloid-Related,Small Molecule,Psoriasis in US,?fda_statuses[]=182&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=182&therapy_types[]=166 | ?therapy_types[]=166
acp-204,ACP-204,https://www.alzforum.org/therapeutics/acp-204,,Alzheimer's Disease (Phase 2/3),Acadia Pharmaceuticals,Other Neurotransmitters,Small Molecule,,?fda_statuses[]=931&target_types[]=176 | ?target_types[]=176 | ?fda_statuses[]=931&therapy_types[]=166 | ?therapy_types[]=166
adel-y01,ADEL-Y01,https://www.alzforum.org/therapeutics/adel-y01,,Alzheimer's Disease (Phase 1),"ADEL, Inc., Oscotec Inc.",Tau,Immunotherapy (passive),,?fda_statuses[]=181&target_types[]=177 | ?target_types[]=177 | ?fda_statuses[]=181&therapy_types[]=162 | ?therapy_types[]=162
aduhelm,Aduhelm,https://www.alzforum.org/therapeutics/aduhelm,"Aducanumab, BIIB037",Alzheimer's Disease (Approved),"Biogen, Neurimmune",Amyloid-Related,Immunotherapy (passive),,?fda_statuses[]=184&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=184&therapy_types[]=162 | ?therapy_types[]=162
af-102b,AF 102B,https://www.alzforum.org/therapeutics/af-102b,"cevimeline HCL, Evoxac™",Alzheimer's Disease (Discontinued),"SnowBrand Pharmaceuticals, Inc.",Cholinergic System,Small Molecule,Treatment of dry mouth in Sjogren's syndrome.,?fda_statuses[]=189&target_types[]=172 | ?target_types[]=172 | ?fda_statuses[]=189&therapy_types[]=166 | ?therapy_types[]=166
affitope-ad02,Affitope AD02,https://www.alzforum.org/therapeutics/affitope-ad02,,Alzheimer's Disease (Discontinued),AFFiRiS AG,Amyloid-Related,Immunotherapy (active),,?fda_statuses[]=189&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=189&therapy_types[]=161 | ?therapy_types[]=161
agb101,AGB101,https://www.alzforum.org/therapeutics/agb101,levetiracetam,MCI-AD (Phase 2/3),"AgeneBio, Inc.",Amyloid-Related,Small Molecule,,?fda_statuses[]=931&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=931&therapy_types[]=166 | ?therapy_types[]=166
ait-101,AIT-101,https://www.alzforum.org/therapeutics/ait-101,"Apilimod, apilimod dimesylate, STA-5326, LAM-002A",Amyotrophic Lateral Sclerosis (Phase 2),OrphAI Therapeutics,Other,Small Molecule,,?fda_statuses[]=182&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=182&therapy_types[]=166 | ?therapy_types[]=166
akst4290,AKST4290,https://www.alzforum.org/therapeutics/akst4290,"ALK4290, lazucirnon",Parkinson's Disease (Phase 2),"Alkahest, Inc.",Inflammation,Small Molecule,,?fda_statuses[]=182&target_types[]=173 | ?target_types[]=173 | ?fda_statuses[]=182&therapy_types[]=166 | ?therapy_types[]=166
al002,AL002,https://www.alzforum.org/therapeutics/al002,,Alzheimer's Disease (Discontinued),"AbbVie, Alector",Inflammation,Immunotherapy (passive),,?fda_statuses[]=189&target_types[]=173 | ?target_types[]=173 | ?fda_statuses[]=189&therapy_types[]=162 | ?therapy_types[]=162
al003,AL003,https://www.alzforum.org/therapeutics/al003,,Alzheimer's Disease (Discontinued),"AbbVie, Alector",Inflammation,Immunotherapy (passive),,?fda_statuses[]=189&target_types[]=173 | ?target_types[]=173 | ?fda_statuses[]=189&therapy_types[]=162 | ?therapy_types[]=162
al044,AL044,https://www.alzforum.org/therapeutics/al044,,Alzheimer's Disease (Phase 1),Alector,Inflammation,Immunotherapy (passive),,?fda_statuses[]=181&target_types[]=173 | ?target_types[]=173 | ?fda_statuses[]=181&therapy_types[]=162 | ?therapy_types[]=162
al101,AL101,https://www.alzforum.org/therapeutics/al101,GSK-4527226,Alzheimer's Disease (Phase 2),"Alector, GlaxoSmithKline (GSK)",Other,Immunotherapy (passive),,?fda_statuses[]=182&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=182&therapy_types[]=162 | ?therapy_types[]=162
alia-1758,ALIA-1758,https://www.alzforum.org/therapeutics/alia-1758,,Alzheimer's Disease (Phase 1),"AbbVie, Aliada Therapeutics",Amyloid-Related,Immunotherapy (passive),,?fda_statuses[]=181&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=181&therapy_types[]=162 | ?therapy_types[]=162
allopregnanolone,Allopregnanolone,https://www.alzforum.org/therapeutics/allopregnanolone,"brexanolone, 3α-hydroxy-5α-pregnan-20-one, 3α,5α-tetrahydroprogesterone","Alzheimer's Disease (Phase 2), Parkinson's Disease (Phase 1)",,"Other Neurotransmitters, Other",Small Molecule,,?fda_statuses[]=181&target_types[]=175 | ?fda_statuses[]=182&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=181&target_types[]=176 | ?fda_statuses[]=182&target_types[]=176 | ?target_types[]=176 | ?fda_statuses[]=181&therapy_types[]=166 | ?fda_statuses[]=182&therapy_types[]=166 | ?therapy_types[]=166
alpha-tocopherol,Alpha-Tocopherol,https://www.alzforum.org/therapeutics/alpha-tocopherol,Vitamin E,Alzheimer's Disease (Phase 3),,Other,"Supplement, Dietary",,?fda_statuses[]=183&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=183&therapy_types[]=163 | ?therapy_types[]=163
alx-001,ALX-001,https://www.alzforum.org/therapeutics/alx-001,BMS-984923,Alzheimer's Disease (Phase 1),"Allyx Therapeutics, Inc.","Amyloid-Related, Other Neurotransmitters",Small Molecule,,?fda_statuses[]=181&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=181&target_types[]=176 | ?target_types[]=176 | ?fda_statuses[]=181&therapy_types[]=166 | ?therapy_types[]=166
alz-101,ALZ-101,https://www.alzforum.org/therapeutics/alz-101,,Alzheimer's Disease (Phase 1),Alzinova AB,Amyloid-Related,Immunotherapy (active),,?fda_statuses[]=181&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=181&therapy_types[]=161 | ?therapy_types[]=161
alz-801,ALZ-801,https://www.alzforum.org/therapeutics/alz-801,"valiltramiprosate, NRM-8499, homotaurine prodrug, 3-APS",Alzheimer's Disease (Phase 3),Alzheon Inc.,Amyloid-Related,Small Molecule,,?fda_statuses[]=183&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=183&therapy_types[]=166 | ?therapy_types[]=166
alzhemedtm,Alzhemed™,https://www.alzforum.org/therapeutics/alzhemedtm,"Vivimind™, Tramiprosate, NC-531, homotaurine, 3-APS",Alzheimer's Disease (Discontinued),"Neurochem, Inc.",Amyloid-Related,"Supplement, Dietary",None,?fda_statuses[]=189&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=189&therapy_types[]=163 | ?therapy_types[]=163
alzt-op1,ALZT-OP1,https://www.alzforum.org/therapeutics/alzt-op1,"Cromolyn sodium, Intal, Ibuprofen",Alzheimer's Disease (Phase 3),"AZTherapies, Inc.","Amyloid-Related, Inflammation","Combination, Small Molecule",,?fda_statuses[]=183&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=183&target_types[]=173 | ?target_types[]=173 | ?fda_statuses[]=183&therapy_types[]=36536 | ?therapy_types[]=36536 | ?fda_statuses[]=183&therapy_types[]=166 | ?therapy_types[]=166
ambroxol,Ambroxol,https://www.alzforum.org/therapeutics/ambroxol,"Ambrosan, Mucosolvan","Parkinson's Disease (Phase 2), Parkinson's Disease Dementia (Phase 2), Dementia with Lewy Bodies (Phase 2)",,"alpha-synuclein, Other",Small Molecule,,?fda_statuses[]=182&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=182&therapy_types[]=166 | ?therapy_types[]=166
amilomotide,Amilomotide,https://www.alzforum.org/therapeutics/amilomotide,CAD106,Alzheimer's Disease (Inactive),Novartis Pharmaceuticals Corporation,Amyloid-Related,Immunotherapy (active),None,?fda_statuses[]=190&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=190&therapy_types[]=161 | ?therapy_types[]=161
an-1792,AN-1792,https://www.alzforum.org/therapeutics/an-1792,AIP 001,Alzheimer's Disease (Discontinued),"Janssen, Pfizer",Amyloid-Related,Immunotherapy (active),None,?fda_statuses[]=189&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=189&therapy_types[]=161 | ?therapy_types[]=161
anpd001,ANPD001,https://www.alzforum.org/therapeutics/anpd001,DANPC (dopaminergic neuron precursor cell),Parkinson's Disease (Phase 1),Aspen Neuroscience,Other Neurotransmitters,Other,,?fda_statuses[]=181&target_types[]=176 | ?target_types[]=176 | ?fda_statuses[]=181&therapy_types[]=167 | ?therapy_types[]=167
anx005,ANX005,https://www.alzforum.org/therapeutics/anx005,,Amyotrophic Lateral Sclerosis (Phase 2),"Annexon, Inc.","Inflammation, Other",Immunotherapy (passive),,?fda_statuses[]=182&target_types[]=173 | ?target_types[]=173 | ?fda_statuses[]=182&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=182&therapy_types[]=162 | ?therapy_types[]=162
apabetalone,Apabetalone,https://www.alzforum.org/therapeutics/apabetalone,"RVX208, RVX000222",MCI-VaD (Phase 3),Resverlogix Corporation,Other,Small Molecule,,?fda_statuses[]=183&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=183&therapy_types[]=166 | ?therapy_types[]=166
apnmab005,APNmAb005,https://www.alzforum.org/therapeutics/apnmab005,RAA7,Alzheimer's Disease (Phase 1),Aprinoia Therapeutics,Tau,Immunotherapy (passive),,?fda_statuses[]=181&target_types[]=177 | ?target_types[]=177 | ?fda_statuses[]=181&therapy_types[]=162 | ?therapy_types[]=162
aqneursa,AQNEURSA,https://www.alzforum.org/therapeutics/aqneursa,"N-acetyl-L-leucine, NALL, IB1001, levacetylleucine","Niemann-Pick Diseases (Approved), Ataxia (Phase 3), Lysosomal Storage Diseases, Nervous System (Phase 2)",IntraBio,"Inflammation, Other",Small Molecule,Neurological symptoms of Niemann-Pick Disease Type C,?fda_statuses[]=182&target_types[]=173 | ?fda_statuses[]=183&target_types[]=173 | ?fda_statuses[]=184&target_types[]=173 | ?target_types[]=173 | ?fda_statuses[]=182&target_types[]=175 | ?fda_statuses[]=183&target_types[]=175 | ?fda_statuses[]=184&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=182&therapy_types[]=166 | ?fda_statuses[]=183&therapy_types[]=166 | ?fda_statuses[]=184&therapy_types[]=166 | ?therapy_types[]=166
aqw051,AQW051,https://www.alzforum.org/therapeutics/aqw051,Alpha-7 nicotinic acetylcholine receptor agonist,"Alzheimer's Disease (Inactive), Parkinson's Disease (Phase 2), Schizophrenia (Phase 2)",Novartis Pharmaceuticals Corporation,Cholinergic System,Small Molecule,,?fda_statuses[]=182&target_types[]=172 | ?fda_statuses[]=190&target_types[]=172 | ?target_types[]=172 | ?fda_statuses[]=182&therapy_types[]=166 | ?fda_statuses[]=190&therapy_types[]=166 | ?therapy_types[]=166
ar1001,AR1001,https://www.alzforum.org/therapeutics/ar1001,,Alzheimer's Disease (Phase 3),"Aribio Co., Ltd.",Other,Small Molecule,,?fda_statuses[]=183&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=183&therapy_types[]=166 | ?therapy_types[]=166
arimoclomol,Arimoclomol,https://www.alzforum.org/therapeutics/arimoclomol,MiplyffaTM,"Niemann-Pick Diseases (Approved), Amyotrophic Lateral Sclerosis (Discontinued), Gaucher Disease (Discontinued)",Zevra Therapeutics,"Cholesterol, Other",Small Molecule,Niemann-Pick Disease Type C,?fda_statuses[]=184&target_types[]=171 | ?fda_statuses[]=189&target_types[]=171 | ?target_types[]=171 | ?fda_statuses[]=184&target_types[]=175 | ?fda_statuses[]=189&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=184&therapy_types[]=166 | ?fda_statuses[]=189&therapy_types[]=166 | ?therapy_types[]=166
aripiprazole,Aripiprazole,https://www.alzforum.org/therapeutics/aripiprazole,"Abilify, BMS-337039","Alzheimer's Disease (Phase 3), Schizophrenia (Approved)","Bristol-Myers Squibb, Otsuka Pharmaceutical Co., Ltd.",Other Neurotransmitters,Small Molecule,,?fda_statuses[]=183&target_types[]=176 | ?fda_statuses[]=184&target_types[]=176 | ?target_types[]=176 | ?fda_statuses[]=183&therapy_types[]=166 | ?fda_statuses[]=184&therapy_types[]=166 | ?therapy_types[]=166
arv-102,ARV-102,https://www.alzforum.org/therapeutics/arv-102,,Parkinson's Disease (Phase 1),"Arvinas, Inc.",Other,Small Molecule,,?fda_statuses[]=181&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=181&therapy_types[]=166 | ?therapy_types[]=166
asn51,ASN51,https://www.alzforum.org/therapeutics/asn51,ASN121151,Alzheimer's Disease (Inactive),Asceneuron SA,Tau,Small Molecule,,?fda_statuses[]=190&target_types[]=177 | ?target_types[]=177 | ?fda_statuses[]=190&therapy_types[]=166 | ?therapy_types[]=166
asn90,ASN90,https://www.alzforum.org/therapeutics/asn90,"ASN120290, ASN-561",Progressive Supranuclear Palsy (Phase 1),Asceneuron SA,Tau,Small Molecule,,?fda_statuses[]=181&target_types[]=177 | ?target_types[]=177 | ?fda_statuses[]=181&therapy_types[]=166 | ?therapy_types[]=166
atabecestat,Atabecestat,https://www.alzforum.org/therapeutics/atabecestat,"JNJ-54861911 , BACE inhibitor",Alzheimer's Disease (Discontinued),"Janssen, Shionogi Pharma",Amyloid-Related,Small Molecule,,?fda_statuses[]=189&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=189&therapy_types[]=166 | ?therapy_types[]=166
atb2005a,ATB2005A,https://www.alzforum.org/therapeutics/atb2005a,ATC161,"Alzheimer's Disease (Phase 1), Progressive Supranuclear Palsy (Phase 1)",Autotac Bio Inc.,Tau,Small Molecule,,?fda_statuses[]=181&target_types[]=177 | ?target_types[]=177 | ?fda_statuses[]=181&therapy_types[]=166 | ?therapy_types[]=166
atomoxetine,Atomoxetine,https://www.alzforum.org/therapeutics/atomoxetine,"ATX, Strattera","Alzheimer's Disease (Phase 2), Parkinson's Disease (Phase 1)",Eli Lilly & Co.,Other Neurotransmitters,Small Molecule,ADHD in US,?fda_statuses[]=181&target_types[]=176 | ?fda_statuses[]=182&target_types[]=176 | ?target_types[]=176 | ?fda_statuses[]=181&therapy_types[]=166 | ?fda_statuses[]=182&therapy_types[]=166 | ?therapy_types[]=166
atorvastatin,Atorvastatin,https://www.alzforum.org/therapeutics/atorvastatin,"Lipitor™ , Zarator®, Sortis®, Tahor®",Alzheimer's Disease (Inactive),Pfizer,Cholesterol,Small Molecule,Hypercholesterolaemia,?fda_statuses[]=190&target_types[]=171 | ?target_types[]=171 | ?fda_statuses[]=190&therapy_types[]=166 | ?therapy_types[]=166
atuzaginstat,Atuzaginstat,https://www.alzforum.org/therapeutics/atuzaginstat,COR388,Alzheimer's Disease (Discontinued),"Cortexyme, Inc., Quince Therapeutics",Other,Small Molecule,,?fda_statuses[]=189&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=189&therapy_types[]=166 | ?therapy_types[]=166
autologous-adipose-derived-stem-cells,Autologous Adipose-derived Stem Cells,https://www.alzforum.org/therapeutics/autologous-adipose-derived-stem-cells,"RB-ADSC, CEREWiNT®, Astrostem",Alzheimer's Disease (Phase 1/2),"Regeneration Biomedical, Inc.",Other,Other,,?fda_statuses[]=33251&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=33251&therapy_types[]=167 | ?therapy_types[]=167
av-1959d,AV-1959D,https://www.alzforum.org/therapeutics/av-1959d,AV-1959,Alzheimer's Disease (Phase 1),,Amyloid-Related,Immunotherapy (active),,?fda_statuses[]=181&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=181&therapy_types[]=161 | ?therapy_types[]=161
av-1980ra,AV-1980R/A,https://www.alzforum.org/therapeutics/av-1980ra,AV-1980R,Alzheimer's Disease (Phase 1),,Tau,Immunotherapy (active),,?fda_statuses[]=181&target_types[]=177 | ?target_types[]=177 | ?fda_statuses[]=181&therapy_types[]=161 | ?therapy_types[]=161
avagacestat,Avagacestat,https://www.alzforum.org/therapeutics/avagacestat,BMS-708163,Alzheimer's Disease (Discontinued),Bristol-Myers Squibb,Amyloid-Related,Small Molecule,,?fda_statuses[]=189&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=189&therapy_types[]=166 | ?therapy_types[]=166
avb-101,AVB-101,https://www.alzforum.org/therapeutics/avb-101,,Frontotemporal Dementia (Phase 1/2),AviadoBio,Other,DNA/RNA-based,,?fda_statuses[]=33251&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=33251&therapy_types[]=164 | ?therapy_types[]=164
avp-786,AVP-786,https://www.alzforum.org/therapeutics/avp-786,,"Alzheimer's Disease (Discontinued), Schizophrenia (Discontinued)","Avanir Pharmaceuticals, Concert Pharmaceuticals, Inc., Otsuka Pharmaceutical Co., Ltd.",Other Neurotransmitters,"Combination, Small Molecule",,?fda_statuses[]=189&target_types[]=176 | ?target_types[]=176 | ?fda_statuses[]=189&therapy_types[]=36536 | ?therapy_types[]=36536 | ?fda_statuses[]=189&therapy_types[]=166 | ?therapy_types[]=166
avp-923,AVP-923,https://www.alzforum.org/therapeutics/avp-923,"Nuedexta, Zenvia","Alzheimer's Disease (Phase 4), Amyotrophic Lateral Sclerosis (Phase 3), Parkinson's Disease (Phase 3)","Avanir Pharmaceuticals, Otsuka Pharmaceutical Co., Ltd.",Other Neurotransmitters,"Combination, Small Molecule",,?fda_statuses[]=183&target_types[]=176 | ?fda_statuses[]=851&target_types[]=176 | ?target_types[]=176 | ?fda_statuses[]=183&therapy_types[]=36536 | ?fda_statuses[]=851&therapy_types[]=36536 | ?therapy_types[]=36536 | ?fda_statuses[]=183&therapy_types[]=166 | ?fda_statuses[]=851&therapy_types[]=166 | ?therapy_types[]=166
axs-05,AXS-05,https://www.alzforum.org/therapeutics/axs-05,"Dextromethorphan/bupropion, Auvelity",Alzheimer's Disease (Phase 2/3),"Axsome Therapeutics, Inc.",Other Neurotransmitters,"Combination, Small Molecule",Major depressive disorder,?fda_statuses[]=931&target_types[]=176 | ?target_types[]=176 | ?fda_statuses[]=931&therapy_types[]=36536 | ?therapy_types[]=36536 | ?fda_statuses[]=931&therapy_types[]=166 | ?therapy_types[]=166
azd1446,AZD1446,https://www.alzforum.org/therapeutics/azd1446,TC-6683,Alzheimer's Disease (Discontinued),"AstraZeneca, Targacept",Cholinergic System,Small Molecule,None,?fda_statuses[]=189&target_types[]=172 | ?target_types[]=172 | ?fda_statuses[]=189&therapy_types[]=166 | ?therapy_types[]=166
azd3293,Lanabecestat,https://www.alzforum.org/therapeutics/azd3293,"AZD3293 , LY3314814, BACE inhibitor",Alzheimer's Disease (Discontinued),"AstraZeneca, Eli Lilly & Co.",Amyloid-Related,Small Molecule,,?fda_statuses[]=189&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=189&therapy_types[]=166 | ?therapy_types[]=166
azd3480,AZD3480,https://www.alzforum.org/therapeutics/azd3480,"ispronicline, TC-1734",Alzheimer's Disease (Inactive),"AstraZeneca, Targacept",Cholinergic System,Small Molecule,,?fda_statuses[]=190&target_types[]=172 | ?target_types[]=172 | ?fda_statuses[]=190&therapy_types[]=166 | ?therapy_types[]=166
azeliragon,Azeliragon,https://www.alzforum.org/therapeutics/azeliragon,"PF-04494700, TTP488",Alzheimer's Disease (Discontinued),"Pfizer, TransTech Pharma, Inc., vTv Therapeutics LLC","Amyloid-Related, Inflammation",Small Molecule,,?fda_statuses[]=189&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=189&target_types[]=173 | ?target_types[]=173 | ?fda_statuses[]=189&therapy_types[]=166 | ?therapy_types[]=166
bapineuzumab,Bapineuzumab,https://www.alzforum.org/therapeutics/bapineuzumab,AAB-001,Alzheimer's Disease (Discontinued),"Janssen, Pfizer",Amyloid-Related,Immunotherapy (passive),,?fda_statuses[]=189&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=189&therapy_types[]=162 | ?therapy_types[]=162
baricitinib,Baricitinib,https://www.alzforum.org/therapeutics/baricitinib,"Olumiant®, NCB28050, LY3009104","Alzheimer's Disease (Phase 2), Amyotrophic Lateral Sclerosis (Phase 1)",Eli Lilly & Co.,Inflammation,Small Molecule,"Rheumatoid arthritis, Eczema (Europe, Japan only)",?fda_statuses[]=181&target_types[]=173 | ?fda_statuses[]=182&target_types[]=173 | ?target_types[]=173 | ?fda_statuses[]=181&therapy_types[]=166 | ?fda_statuses[]=182&therapy_types[]=166 | ?therapy_types[]=166
bemdaneprocel,Bemdaneprocel,https://www.alzforum.org/therapeutics/bemdaneprocel,"BRT-DA01, MSK-DA01",Parkinson's Disease (Phase 1),"Bayer, BlueRock Therapeutics","Other Neurotransmitters, Other",Other,,?fda_statuses[]=181&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=181&target_types[]=176 | ?target_types[]=176 | ?fda_statuses[]=181&therapy_types[]=167 | ?therapy_types[]=167
benfotiamine,Benfotiamine,https://www.alzforum.org/therapeutics/benfotiamine,"S-benzoylthiamine-O-monophosphate, Vitamin B1, Thiamine",Alzheimer's Disease (Phase 2),,"Inflammation, Other","Supplement, Dietary",,?fda_statuses[]=182&target_types[]=173 | ?target_types[]=173 | ?fda_statuses[]=182&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=182&therapy_types[]=163 | ?therapy_types[]=163
