search_id,search_name,search_url,therapeutic_id,therapeutic_name,therapeutic_url,synonyms,fda_status,company,target_type,therapy_type,approved_for
?fda_statuses[]=182&target_types[]=170,12,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=182&target_types[]=170,acitretin,Acitretin,https://www.alzforum.org/therapeutics/acitretin,"Soriatane , Neotigason, RO 101670",Alzheimer's Disease (Phase 2),"Actavis, Allergan plc",Amyloid-Related,Small Molecule,Psoriasis in US
?fda_statuses[]=182&target_types[]=170,12,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=182&target_types[]=170,bexarotene,Bexarotene,https://www.alzforum.org/therapeutics/bexarotene,Targretin®,Alzheimer's Disease (Phase 2),"Ligand Pharmaceuticals, Inc., ReXceptor Inc.","Amyloid-Related, Unknown",Small Molecule,Cutaneous T-cell Lymphoma in US
?fda_statuses[]=182&target_types[]=170,12,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=182&target_types[]=170,chf-5074,CHF 5074,https://www.alzforum.org/therapeutics/chf-5074,,"Mild Cognitive Impairment (Phase 2), Alzheimer's Disease (Inactive)","CereSpir™ Incorporated, Chiesi Pharmaceuticals Inc.","Amyloid-Related, Inflammation, Other",Small Molecule,
?fda_statuses[]=182&target_types[]=170,12,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=182&target_types[]=170,epigallocatechin-gallate-egcg,Epigallocatechin Gallate (EGCG),https://www.alzforum.org/therapeutics/epigallocatechin-gallate-egcg,Sunphenon EGCg,"Alzheimer's Disease (Phase 2/3), Down's Syndrome (Phase 2), Multiple System Atrophy (Phase 3)",Taiyo International,"Amyloid-Related, Inflammation, Other","Supplement, Dietary",
?fda_statuses[]=182&target_types[]=170,12,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=182&target_types[]=170,lenalidomide,Lenalidomide,https://www.alzforum.org/therapeutics/lenalidomide,Revlimid,Alzheimer's Disease (Phase 2),Celgene Corporation,"Amyloid-Related, Inflammation",Small Molecule,"Multiple myeloma, lymphoma, myelodysplastic syndromes"
?fda_statuses[]=182&target_types[]=170,12,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=182&target_types[]=170,levetiracetam,Levetiracetam,https://www.alzforum.org/therapeutics/levetiracetam,Keppra,"Alzheimer's Disease (Phase 2), Parkinson's Disease (Discontinued)",UCB S.A.,"Amyloid-Related, Other",Small Molecule,"Epilepsy and Partial Seizures in U.S., European Union, plus about 20 other countries"
?fda_statuses[]=182&target_types[]=170,12,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=182&target_types[]=170,lithium,Lithium,https://www.alzforum.org/therapeutics/lithium,"lithium carbonate, lithium aspartate, lithium citrate, lithium orotate","Alzheimer's Disease (Phase 4), Amyotrophic Lateral Sclerosis (Phase 3), Frontotemporal Dementia (Inactive), Mild Cognitive Impairment (Phase 4), Parkinson's Disease (Phase 2)",,"Amyloid-Related, Tau, Metals, Other",Other,Bipolar disorder
?fda_statuses[]=182&target_types[]=170,12,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=182&target_types[]=170,mivelsiran,Mivelsiran,https://www.alzforum.org/therapeutics/mivelsiran,ALN-APP,"Alzheimer's Disease (Phase 1), Cerebral Amyloid Angiopathy (Phase 2)","Alnylam Pharmaceuticals, Inc.",Amyloid-Related,DNA/RNA-based,
?fda_statuses[]=182&target_types[]=170,12,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=182&target_types[]=170,nasal-insulin,Nasal Insulin,https://www.alzforum.org/therapeutics/nasal-insulin,"Detemir, Levemir, Humulin, Novolin, glulisine","Alzheimer's Disease (Phase 2/3), Mild Cognitive Impairment (Phase 2), Parkinson's Disease (Phase 2), Multiple System Atrophy (Phase 2)",,"Amyloid-Related, Other","Small Molecule, Other",Diabetes
?fda_statuses[]=182&target_types[]=170,12,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=182&target_types[]=170,nic5-15,NIC5-15,https://www.alzforum.org/therapeutics/nic5-15,"Pinitol, D-Pinitol",Alzheimer's Disease (Phase 2),Humanetics Pharmaceuticals Corporation,"Amyloid-Related, Other","Small Molecule, Supplement, Dietary",
?fda_statuses[]=182&target_types[]=170,12,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=182&target_types[]=170,shr-1707,SHR-1707,https://www.alzforum.org/therapeutics/shr-1707,,Alzheimer's Disease (Phase 2),,Amyloid-Related,Immunotherapy (passive),
?fda_statuses[]=182&target_types[]=170,12,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=182&target_types[]=170,troculeucel,Troculeucel,https://www.alzforum.org/therapeutics/troculeucel,SNK01,Alzheimer's Disease (Phase 2),"NKGen Biotech, Inc.","Amyloid-Related, Inflammation",Other,
?fda_statuses[]=182&target_types[]=170,12,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=182&target_types[]=170,ub-311,UB-311,https://www.alzforum.org/therapeutics/ub-311,,Alzheimer's Disease (Phase 2),"United Neuroscience, Vaxxinity",Amyloid-Related,Immunotherapy (active),
?fda_statuses[]=182&target_types[]=170,12,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=182&target_types[]=170,vhb937,VHB937,https://www.alzforum.org/therapeutics/vhb937,,"Alzheimer's Disease (Phase 1), Amyotrophic Lateral Sclerosis (Phase 2)",Novartis Pharmaceuticals Corporation,Amyloid-Related,Immunotherapy (passive),
?fda_statuses[]=182&target_types[]=170,12,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=182&target_types[]=170,zervimesine,Zervimesine,https://www.alzforum.org/therapeutics/zervimesine,"CT1812 , Elayta","Alzheimer's Disease (Phase 2), Dementia with Lewy Bodies (Phase 2)",Cognition Therapeutics Inc.,Amyloid-Related,Small Molecule,
?fda_statuses[]=931&target_types[]=170,6,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=931&target_types[]=170,agb101,AGB101,https://www.alzforum.org/therapeutics/agb101,levetiracetam,MCI-AD (Phase 2/3),"AgeneBio, Inc.",Amyloid-Related,Small Molecule,
?fda_statuses[]=931&target_types[]=170,6,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=931&target_types[]=170,buntanetap,Buntanetap,https://www.alzforum.org/therapeutics/buntanetap,"Posiphen, ANVS-401, Posiphen tartrate","Alzheimer's Disease (Phase 2/3), Parkinson's Disease (Phase 3)",Annovis Bio,"Amyloid-Related, alpha-synuclein",Small Molecule,
?fda_statuses[]=931&target_types[]=170,6,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=931&target_types[]=170,epigallocatechin-gallate-egcg,Epigallocatechin Gallate (EGCG),https://www.alzforum.org/therapeutics/epigallocatechin-gallate-egcg,Sunphenon EGCg,"Alzheimer's Disease (Phase 2/3), Down's Syndrome (Phase 2), Multiple System Atrophy (Phase 3)",Taiyo International,"Amyloid-Related, Inflammation, Other","Supplement, Dietary",
?fda_statuses[]=931&target_types[]=170,6,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=931&target_types[]=170,gamunex,Gamunex,https://www.alzforum.org/therapeutics/gamunex,"Intravenous Immunoglobulin, Human Albumin Combined With Flebogamma",Alzheimer's Disease (Phase 2/3),Grifols Biologicals Inc.,"Amyloid-Related, Inflammation","Combination, Immunotherapy (passive)","Immunodeficiency, chronic inflammatory demyelinating neuropathy"
?fda_statuses[]=931&target_types[]=170,6,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=931&target_types[]=170,nasal-insulin,Nasal Insulin,https://www.alzforum.org/therapeutics/nasal-insulin,"Detemir, Levemir, Humulin, Novolin, glulisine","Alzheimer's Disease (Phase 2/3), Mild Cognitive Impairment (Phase 2), Parkinson's Disease (Phase 2), Multiple System Atrophy (Phase 2)",,"Amyloid-Related, Other","Small Molecule, Other",Diabetes
?fda_statuses[]=931&target_types[]=170,6,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=931&target_types[]=170,nivegacetor,Nivegacetor,https://www.alzforum.org/therapeutics/nivegacetor,"RG6289 , RO7269162",Alzheimer's Disease (Phase 2/3),Hoffmann-La Roche,Amyloid-Related,Small Molecule,
?fda_statuses[]=931&target_types[]=170,6,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=931&target_types[]=170,sabirnetug,Sabirnetug,https://www.alzforum.org/therapeutics/sabirnetug,ACU-193,Alzheimer's Disease (Phase 2/3),"Acumen Pharmaceuticals, Inc.",Amyloid-Related,Immunotherapy (passive),
?fda_statuses[]=183&target_types[]=170,5,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=183&target_types[]=170,alz-801,ALZ-801,https://www.alzforum.org/therapeutics/alz-801,"valiltramiprosate, NRM-8499, homotaurine prodrug, 3-APS",Alzheimer's Disease (Phase 3),Alzheon Inc.,Amyloid-Related,Small Molecule,
?fda_statuses[]=183&target_types[]=170,5,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=183&target_types[]=170,alzt-op1,ALZT-OP1,https://www.alzforum.org/therapeutics/alzt-op1,"Cromolyn sodium, Intal, Ibuprofen",Alzheimer's Disease (Phase 3),"AZTherapies, Inc.","Amyloid-Related, Inflammation","Combination, Small Molecule",
?fda_statuses[]=183&target_types[]=170,5,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=183&target_types[]=170,buntanetap,Buntanetap,https://www.alzforum.org/therapeutics/buntanetap,"Posiphen, ANVS-401, Posiphen tartrate","Alzheimer's Disease (Phase 2/3), Parkinson's Disease (Phase 3)",Annovis Bio,"Amyloid-Related, alpha-synuclein",Small Molecule,
?fda_statuses[]=183&target_types[]=170,5,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=183&target_types[]=170,epigallocatechin-gallate-egcg,Epigallocatechin Gallate (EGCG),https://www.alzforum.org/therapeutics/epigallocatechin-gallate-egcg,Sunphenon EGCg,"Alzheimer's Disease (Phase 2/3), Down's Syndrome (Phase 2), Multiple System Atrophy (Phase 3)",Taiyo International,"Amyloid-Related, Inflammation, Other","Supplement, Dietary",
?fda_statuses[]=183&target_types[]=170,5,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=183&target_types[]=170,lithium,Lithium,https://www.alzforum.org/therapeutics/lithium,"lithium carbonate, lithium aspartate, lithium citrate, lithium orotate","Alzheimer's Disease (Phase 4), Amyotrophic Lateral Sclerosis (Phase 3), Frontotemporal Dementia (Inactive), Mild Cognitive Impairment (Phase 4), Parkinson's Disease (Phase 2)",,"Amyloid-Related, Tau, Metals, Other",Other,Bipolar disorder
?fda_statuses[]=183&target_types[]=170,5,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=183&target_types[]=170,remternetug,Remternetug,https://www.alzforum.org/therapeutics/remternetug,"LY3372993, N3pG-Abeta mAb",Alzheimer's Disease (Phase 3),Eli Lilly & Co.,Amyloid-Related,Immunotherapy (passive),
?fda_statuses[]=183&target_types[]=170,5,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=183&target_types[]=170,sensory-stimulation-systems,Sensory Stimulation Systems,https://www.alzforum.org/therapeutics/sensory-stimulation-systems,"GENUS, Gamma entrainment using sensory stimuli, GammaSense Stimulation","Alzheimer's Disease (Phase 3), Parkinson's Disease (Not Regulated), Down's Syndrome (Not Regulated)","Cognito Therapeutics, Inc.","Amyloid-Related, Inflammation, Other","Combination, Procedural Intervention",
?fda_statuses[]=183&target_types[]=170,5,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=183&target_types[]=170,trontinemab,Trontinemab,https://www.alzforum.org/therapeutics/trontinemab,"RO7126209, RG6102 , Brain shuttle gantenerumab",Alzheimer's Disease (Phase 3),Hoffmann-La Roche,Amyloid-Related,Immunotherapy (passive),
?fda_statuses[]=851&target_types[]=170,1,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=851&target_types[]=170,lithium,Lithium,https://www.alzforum.org/therapeutics/lithium,"lithium carbonate, lithium aspartate, lithium citrate, lithium orotate","Alzheimer's Disease (Phase 4), Amyotrophic Lateral Sclerosis (Phase 3), Frontotemporal Dementia (Inactive), Mild Cognitive Impairment (Phase 4), Parkinson's Disease (Phase 2)",,"Amyloid-Related, Tau, Metals, Other",Other,Bipolar disorder
?fda_statuses[]=184&target_types[]=170,3,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=184&target_types[]=170,aduhelm,Aduhelm,https://www.alzforum.org/therapeutics/aduhelm,"Aducanumab, BIIB037",Alzheimer's Disease (Approved),"Biogen, Neurimmune",Amyloid-Related,Immunotherapy (passive),
?fda_statuses[]=184&target_types[]=170,3,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=184&target_types[]=170,kisunla,Kisunla,https://www.alzforum.org/therapeutics/kisunla,"Donanemab, LY3002813, N3pG-Aβ Monoclonal Antibody",Alzheimer's Disease (Approved),Eli Lilly & Co.,Amyloid-Related,Immunotherapy (passive),
?fda_statuses[]=184&target_types[]=170,3,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=184&target_types[]=170,leqembi,Leqembi,https://www.alzforum.org/therapeutics/leqembi,"Leqembi Iqlik , Lecanemab-irmb, BAN2401, mAb158",Alzheimer's Disease (Approved),"BioArctic AB, Biogen, Eisai Co., Ltd.",Amyloid-Related,Immunotherapy (passive),
?fda_statuses[]=190&target_types[]=170,8,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=190&target_types[]=170,amilomotide,Amilomotide,https://www.alzforum.org/therapeutics/amilomotide,CAD106,Alzheimer's Disease (Inactive),Novartis Pharmaceuticals Corporation,Amyloid-Related,Immunotherapy (active),None
?fda_statuses[]=190&target_types[]=170,8,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=190&target_types[]=170,chf-5074,CHF 5074,https://www.alzforum.org/therapeutics/chf-5074,,"Mild Cognitive Impairment (Phase 2), Alzheimer's Disease (Inactive)","CereSpir™ Incorporated, Chiesi Pharmaceuticals Inc.","Amyloid-Related, Inflammation, Other",Small Molecule,
?fda_statuses[]=190&target_types[]=170,8,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=190&target_types[]=170,elnd005,ELND005,https://www.alzforum.org/therapeutics/elnd005,"AZD-103, Scyllo-inositol, cyclohexane-1,2,3,4,5,6-hexol",Alzheimer's Disease (Inactive),"Elan Corporation, Opko Health, Speranza Therapeutics, Transition Therapeutics, Inc.",Amyloid-Related,Small Molecule,None
?fda_statuses[]=190&target_types[]=170,8,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=190&target_types[]=170,gsk933776,GSK933776,https://www.alzforum.org/therapeutics/gsk933776,,Alzheimer's Disease (Inactive),GlaxoSmithKline (GSK),Amyloid-Related,Immunotherapy (passive),
?fda_statuses[]=190&target_types[]=170,8,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=190&target_types[]=170,gv-971,GV-971,https://www.alzforum.org/therapeutics/gv-971,"sodium oligomannate, sodium oligo-mannurarate",Alzheimer's Disease (Inactive),Shanghai Green Valley Pharmaceuticals,"Amyloid-Related, Inflammation",Small Molecule,
?fda_statuses[]=190&target_types[]=170,8,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=190&target_types[]=170,lithium,Lithium,https://www.alzforum.org/therapeutics/lithium,"lithium carbonate, lithium aspartate, lithium citrate, lithium orotate","Alzheimer's Disease (Phase 4), Amyotrophic Lateral Sclerosis (Phase 3), Frontotemporal Dementia (Inactive), Mild Cognitive Impairment (Phase 4), Parkinson's Disease (Phase 2)",,"Amyloid-Related, Tau, Metals, Other",Other,Bipolar disorder
?fda_statuses[]=190&target_types[]=170,8,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=190&target_types[]=170,octagam%C2%AE,Octagam®10%,https://www.alzforum.org/therapeutics/octagam%C2%AE,"Intravenous Immunoglobulin, NewGam","Alzheimer's Disease (Inactive), Mild Cognitive Impairment (Inactive)",Octapharma,"Amyloid-Related, Inflammation",Immunotherapy (passive),Immunodeficiency disorders
?fda_statuses[]=190&target_types[]=170,8,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=190&target_types[]=170,pbt2,PBT2,https://www.alzforum.org/therapeutics/pbt2,PBT-2,"Alzheimer's Disease (Inactive), Huntington's Disease (Inactive)",Alterity Therapeutics,"Amyloid-Related, Metals",Small Molecule,
?fda_statuses[]=190&target_types[]=170,8,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=190&target_types[]=170,prx012,PRX012,https://www.alzforum.org/therapeutics/prx012,,Alzheimer's Disease (Inactive),Prothena,Amyloid-Related,Immunotherapy (passive),
?fda_statuses[]=189&target_types[]=170,38,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=189&target_types[]=170,aab-003,AAB-003,https://www.alzforum.org/therapeutics/aab-003,PF-05236812,Alzheimer's Disease (Discontinued),"Janssen, Pfizer",Amyloid-Related,Immunotherapy (passive),
?fda_statuses[]=189&target_types[]=170,38,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=189&target_types[]=170,abbv-916,ABBV-916,https://www.alzforum.org/therapeutics/abbv-916,N3pG-Abeta mAb,Alzheimer's Disease (Discontinued),AbbVie,Amyloid-Related,Immunotherapy (passive),
?fda_statuses[]=189&target_types[]=170,38,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=189&target_types[]=170,affitope-ad02,Affitope AD02,https://www.alzforum.org/therapeutics/affitope-ad02,,Alzheimer's Disease (Discontinued),AFFiRiS AG,Amyloid-Related,Immunotherapy (active),
?fda_statuses[]=189&target_types[]=170,38,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=189&target_types[]=170,alzhemedtm,Alzhemed™,https://www.alzforum.org/therapeutics/alzhemedtm,"Vivimind™, Tramiprosate, NC-531, homotaurine, 3-APS",Alzheimer's Disease (Discontinued),"Neurochem, Inc.",Amyloid-Related,"Supplement, Dietary",None
?fda_statuses[]=189&target_types[]=170,38,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=189&target_types[]=170,an-1792,AN-1792,https://www.alzforum.org/therapeutics/an-1792,AIP 001,Alzheimer's Disease (Discontinued),"Janssen, Pfizer",Amyloid-Related,Immunotherapy (active),None
?fda_statuses[]=189&target_types[]=170,38,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=189&target_types[]=170,atabecestat,Atabecestat,https://www.alzforum.org/therapeutics/atabecestat,"JNJ-54861911 , BACE inhibitor",Alzheimer's Disease (Discontinued),"Janssen, Shionogi Pharma",Amyloid-Related,Small Molecule,
?fda_statuses[]=189&target_types[]=170,38,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=189&target_types[]=170,avagacestat,Avagacestat,https://www.alzforum.org/therapeutics/avagacestat,BMS-708163,Alzheimer's Disease (Discontinued),Bristol-Myers Squibb,Amyloid-Related,Small Molecule,
?fda_statuses[]=189&target_types[]=170,38,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=189&target_types[]=170,azeliragon,Azeliragon,https://www.alzforum.org/therapeutics/azeliragon,"PF-04494700, TTP488",Alzheimer's Disease (Discontinued),"Pfizer, TransTech Pharma, Inc., vTv Therapeutics LLC","Amyloid-Related, Inflammation",Small Molecule,
?fda_statuses[]=189&target_types[]=170,38,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=189&target_types[]=170,bapineuzumab,Bapineuzumab,https://www.alzforum.org/therapeutics/bapineuzumab,AAB-001,Alzheimer's Disease (Discontinued),"Janssen, Pfizer",Amyloid-Related,Immunotherapy (passive),
?fda_statuses[]=189&target_types[]=170,38,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=189&target_types[]=170,bi-1181181,BI 1181181,https://www.alzforum.org/therapeutics/bi-1181181,"VTP 37948, BACE inhibitor",Alzheimer's Disease (Discontinued),"Boehringer Ingelheim, Vitae Pharmaceuticals",Amyloid-Related,Small Molecule,
?fda_statuses[]=189&target_types[]=170,38,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=189&target_types[]=170,clioquinol,Clioquinol,https://www.alzforum.org/therapeutics/clioquinol,"iodochlorhydroxyquin, PBT-1",Alzheimer's Disease (Discontinued),Prana Biotechnology Limited,"Amyloid-Related, Metals",Small Molecule,
?fda_statuses[]=189&target_types[]=170,38,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=189&target_types[]=170,crenezumab,Crenezumab,https://www.alzforum.org/therapeutics/crenezumab,"MABT5102A , RG7412",Alzheimer's Disease (Discontinued),"AC Immune SA, Genentech, Hoffmann-La Roche",Amyloid-Related,Immunotherapy (passive),None
?fda_statuses[]=189&target_types[]=170,38,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=189&target_types[]=170,dnl919,DNL919,https://www.alzforum.org/therapeutics/dnl919,"TAK-920, ATV:TREM2",Alzheimer's Disease (Discontinued),"Denali Therapeutics Inc., Takeda Pharmaceutical Company","Amyloid-Related, Inflammation",Immunotherapy (passive),
?fda_statuses[]=189&target_types[]=170,38,https://www.alzforum.org/therapeutics/search/?fda_statuses[]=189&target_types[]=170,elenbecestat,Elenbecestat,https://www.alzforum.org/therapeutics/elenbecestat,"E2609, BACE inhibitor",Alzheimer's Disease (Discontinued),"Biogen, Eisai Co., Ltd.",Amyloid-Related,Small Molecule,
