biomarker_page_id,page_name,source_url,section,comparison,biomarker_key,analyte_label,analyte_core,fluid,analyte_class,version,n_raw,effect_size_raw,p_value_raw,n,effect_size,p_value,meta_text,meta_urls
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,abeta40_plasma_serum,Aβ40 (Plasma/Serum),Aβ40,Plasma/Serum,amyloid,2.x,26,1.065,0.028,26.0,1.065,0.028,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25591/download?token=YD6DbDef;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-av40-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,abeta40_plasma_serum,Aβ40 (Plasma/Serum),Aβ40,Plasma/Serum,amyloid,3.0,48,1.044,0.151,48.0,1.044,0.151,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25591/download?token=YD6DbDef;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-av40-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,abeta42_csf,Aβ42 (CSF),Aβ42,CSF,amyloid,1.x,142,0.561,<0.0001,142.0,0.561,0.0001,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25651/download?token=ttfTWb86;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-av42-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,abeta42_csf,Aβ42 (CSF),Aβ42,CSF,amyloid,2.x,168,0.559,<0.0001,168.0,0.559,0.0001,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25651/download?token=ttfTWb86;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-av42-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,abeta42_csf,Aβ42 (CSF),Aβ42,CSF,amyloid,3.0,210,0.552,<0.0001,210.0,0.552,0.0001,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25651/download?token=ttfTWb86;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-av42-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,abeta42_plasma_serum,Aβ42 (Plasma/Serum),Aβ42,Plasma/Serum,amyloid,1.x,22,1.040,0.321,22.0,1.04,0.321,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25571/download?token=og7H_U0v;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-av42-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,abeta42_plasma_serum,Aβ42 (Plasma/Serum),Aβ42,Plasma/Serum,amyloid,2.x,27,1.031,0.387,27.0,1.031,0.387,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25571/download?token=og7H_U0v;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-av42-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,abeta42_plasma_serum,Aβ42 (Plasma/Serum),Aβ42,Plasma/Serum,amyloid,3.0,53,1.049,0.030,53.0,1.049,0.03,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25571/download?token=og7H_U0v;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-av42-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,gfap_csf,GFAP (CSF),GFAP,CSF,inflammation,1.x,2,1.119,0.734,2.0,1.119,0.734,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25561/download?token=W55_Go7V;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-gfap-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,gfap_csf,GFAP (CSF),GFAP,CSF,inflammation,2.x,2,1.119,0.736,2.0,1.119,0.736,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25561/download?token=W55_Go7V;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-gfap-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,gfap_csf,GFAP (CSF),GFAP,CSF,inflammation,3.0,5,1.502,0.055,5.0,1.502,0.055,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25561/download?token=W55_Go7V;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-gfap-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,gfap_plasma_serum,GFAP (Plasma/Serum),GFAP,Plasma/Serum,inflammation,3.0,7,1.928,<0.0001,7.0,1.928,0.0001,v.3.0,https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-gfap-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,hfabp_csf,hFABP (CSF),hFABP,CSF,other,1.x,5,1.394,<0.0001,5.0,1.394,0.0001,"v1..0 , v.2.0, v.3.0",https://www.alzforum.org/file/25541/download?token=1ITrjaf8;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-hfabp-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,hfabp_csf,hFABP (CSF),hFABP,CSF,other,2.x,5,1.394,<0.0001,5.0,1.394,0.0001,"v1..0 , v.2.0, v.3.0",https://www.alzforum.org/file/25541/download?token=1ITrjaf8;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-hfabp-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,hfabp_csf,hFABP (CSF),hFABP,CSF,other,3.0,7,1.437,<0.0001,7.0,1.437,0.0001,"v1..0 , v.2.0, v.3.0",https://www.alzforum.org/file/25541/download?token=1ITrjaf8;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-hfabp-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,hfabp_plasma_serum,hFABP (Plasma/Serum),hFABP,Plasma/Serum,other,1.x,2,1.049,0.692,2.0,1.049,0.692,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25521/download?token=JDuqwLkQ;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-hfabp-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,hfabp_plasma_serum,hFABP (Plasma/Serum),hFABP,Plasma/Serum,other,2.x,2,1.049,0.692,2.0,1.049,0.692,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25521/download?token=JDuqwLkQ;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-hfabp-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,hfabp_plasma_serum,hFABP (Plasma/Serum),hFABP,Plasma/Serum,other,3.0,3,1.054,0.389,3.0,1.054,0.389,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25521/download?token=JDuqwLkQ;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-hfabp-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,mcp_1_csf,MCP-1 (CSF),MCP-1,CSF,inflammation,1.x,3,1.121,<0.0001,3.0,1.121,0.0001,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25501/download?token=yiMnvYD2;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-mcp-1-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,mcp_1_csf,MCP-1 (CSF),MCP-1,CSF,inflammation,2.x,5,1.123,<0.0001,5.0,1.123,0.0001,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25501/download?token=yiMnvYD2;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-mcp-1-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,mcp_1_csf,MCP-1 (CSF),MCP-1,CSF,inflammation,3.0,11,1.091,0.002,11.0,1.091,0.002,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25501/download?token=yiMnvYD2;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-mcp-1-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,mcp_1_plasma_serum,MCP-1 (Plasma/Serum),MCP-1,Plasma/Serum,inflammation,1.x,6,0.999,0.986,6.0,0.999,0.986,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25481/download?token=jwci5JeS;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-mcp-1-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,mcp_1_plasma_serum,MCP-1 (Plasma/Serum),MCP-1,Plasma/Serum,inflammation,2.x,6,0.999,0.986,6.0,0.999,0.986,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25481/download?token=jwci5JeS;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-mcp-1-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,mcp_1_plasma_serum,MCP-1 (Plasma/Serum),MCP-1,Plasma/Serum,inflammation,3.0,8,1.040,0.411,8.0,1.04,0.411,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25481/download?token=jwci5JeS;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-mcp-1-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,neurogranin_csf,neurogranin (CSF),neurogranin,CSF,other,1.x,10,1.937,<0.0001,10.0,1.937,0.0001,"v.1.1 , v.2.0, v.3.0",https://www.alzforum.org/file/30626/download?token=E5YkC7cx;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-neurogranin-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,neurogranin_csf,neurogranin (CSF),neurogranin,CSF,other,2.x,10,1.937,<0.0001,10.0,1.937,0.0001,"v.1.1 , v.2.0, v.3.0",https://www.alzforum.org/file/30626/download?token=E5YkC7cx;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-neurogranin-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,neurogranin_csf,neurogranin (CSF),neurogranin,CSF,other,3.0,22,1.609,<0.0001,22.0,1.609,0.0001,"v.1.1 , v.2.0, v.3.0",https://www.alzforum.org/file/30626/download?token=E5YkC7cx;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-neurogranin-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,neurogranin_plasma_serum,neurogranin (Plasma/Serum),neurogranin,Plasma/Serum,other,1.x,2,0.714,0.253,2.0,0.714,0.253,"v.1.1 , v.2.0, v.3.0",https://www.alzforum.org/file/30616/download?token=4ZARpu2s;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-neurogranin-plasma
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,neurogranin_plasma_serum,neurogranin (Plasma/Serum),neurogranin,Plasma/Serum,other,2.x,2,0.714,0.253,2.0,0.714,0.253,"v.1.1 , v.2.0, v.3.0",https://www.alzforum.org/file/30616/download?token=4ZARpu2s;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-neurogranin-plasma
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,neurogranin_plasma_serum,neurogranin (Plasma/Serum),neurogranin,Plasma/Serum,other,3.0,2,0.714,0.253,2.0,0.714,0.253,"v.1.1 , v.2.0, v.3.0",https://www.alzforum.org/file/30616/download?token=4ZARpu2s;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-neurogranin-plasma
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,nfl_csf,NFL (CSF),NFL,CSF,neurodegeneration,1.x,9,2.351,<0.0001,9.0,2.351,0.0001,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25466/download?token=rbJbE43z;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-nfl-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,nfl_csf,NFL (CSF),NFL,CSF,neurodegeneration,2.x,10,2.313,<0.0001,10.0,2.313,0.0001,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25466/download?token=rbJbE43z;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-nfl-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,nfl_csf,NFL (CSF),NFL,CSF,neurodegeneration,3.0,30,1.983,<0.0001,30.0,1.983,0.0001,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25466/download?token=rbJbE43z;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-nfl-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,nfl_plasma_serum,NFL (Plasma/Serum),NFL,Plasma/Serum,neurodegeneration,3.0,15,1.854,<0.0001,15.0,1.854,0.0001,v.3.0,https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-nfl-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,nse_csf,NSE (CSF),NSE,CSF,other,1.x,7,1.470,0.014,7.0,1.47,0.014,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25456/download?token=Su8ykaDr;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-nse-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,nse_csf,NSE (CSF),NSE,CSF,other,2.x,7,1.470,0.014,7.0,1.47,0.014,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25456/download?token=Su8ykaDr;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-nse-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,nse_csf,NSE (CSF),NSE,CSF,other,3.0,9,1.464,0.004,9.0,1.464,0.004,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25456/download?token=Su8ykaDr;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-nse-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,nse_plasma_serum,NSE (Plasma/Serum),NSE,Plasma/Serum,other,1.x,3,0.999,0.992,3.0,0.999,0.992,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25446/download?token=i9kAq30r;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-nse-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,nse_plasma_serum,NSE (Plasma/Serum),NSE,Plasma/Serum,other,2.x,3,0.999,0.992,3.0,0.999,0.992,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25446/download?token=i9kAq30r;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-nse-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,nse_plasma_serum,NSE (Plasma/Serum),NSE,Plasma/Serum,other,3.0,3,0.999,0.992,3.0,0.999,0.992,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25446/download?token=i9kAq30r;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-nse-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,sapp_csf,sAPPα (CSF),sAPPα,CSF,other,1.x,9,1.032,0.554,9.0,1.032,0.554,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25426/download?token=VshOj5t5;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-sappa-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,sapp_csf,sAPPα (CSF),sAPPα,CSF,other,2.x,11,1.026,0.558,11.0,1.026,0.558,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25426/download?token=VshOj5t5;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-sappa-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,sapp_csf,sAPPα (CSF),sAPPα,CSF,other,3.0,14,1.035,0.438,14.0,1.035,0.438,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25426/download?token=VshOj5t5;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-sappa-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,sapp_plasma_serum,sAPPα (Plasma/Serum),sAPPα,Plasma/Serum,other,3.0,2,1.501,0.114,2.0,1.501,0.114,v.3.0,https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-sappa-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,sappbeta_csf,sAPPβ (CSF),sAPPβ,CSF,other,1.x,10,1.018,0.605,10.0,1.018,0.605,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25406/download?token=3Yjv1yAi;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-sappv-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,sappbeta_csf,sAPPβ (CSF),sAPPβ,CSF,other,2.x,12,1.020,0.542,12.0,1.02,0.542,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25406/download?token=3Yjv1yAi;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-sappv-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,sappbeta_csf,sAPPβ (CSF),sAPPβ,CSF,other,3.0,17,1.013,0.629,17.0,1.013,0.629,"v.1.0 , v.2.0, v.3.0",https://www.alzforum.org/file/25406/download?token=3Yjv1yAi;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-sappv-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,sappbeta_plasma_serum,sAPPβ (Plasma/Serum),sAPPβ,Plasma/Serum,other,3.0,3,0.700,0.300,3.0,0.7,0.3,v.3.0,https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-sappv-plasma-and-serum
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,strem2_csf,sTREM2 (CSF),sTREM2,CSF,inflammation,1.x,6,1.272,<0.0001,6.0,1.272,0.0001,"v.1.2 , v.2.0, v.3.0",https://www.alzforum.org/file/31726/download?token=vDpEqENl;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-strem2-csf
versioning_history,AlzBiomarker Versioning History,https://www.alzforum.org/alzbiomarker/about-alzbiomarker/versioning-history,version_summary,AD vs CTRL,strem2_csf,sTREM2 (CSF),sTREM2,CSF,inflammation,2.x,6,1.272,<0.0001,6.0,1.272,0.0001,"v.1.2 , v.2.0, v.3.0",https://www.alzforum.org/file/31726/download?token=vDpEqENl;https://www.alzforum.org/alzbiomarker/meta-analysis/alzheimers-disease-vs-control-strem2-csf
