therapeutic_id,name,url,synonyms,fda_statuses,companies,target_types,therapy_types,approved_for,source_search_ids,page_title,detail_name,detail_synonyms,detail_therapy_type,detail_target_type,detail_conditions,detail_fda_status,detail_company,detail_approved_for,mechanism_summary,mechanism_raw,overview_raw,status_overall,trial_phase_max,has_phase3,trial_count_timeline,last_updated,detail_url
apabetalone,Apabetalone,https://www.alzforum.org/therapeutics/apabetalone,"RVX208, RVX000222",MCI-VaD (Phase 3),Resverlogix Corporation,Other,Small Molecule,,?fda_statuses[]=183&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=183&therapy_types[]=166 | ?therapy_types[]=166,Therapeutics,Apabetalone,"RVX208, RVX000222",Small Molecule,Other,MCI-VaD,MCI-VaD (Phase 3),Resverlogix Corporation,,"Apabetalone binds and inhibits bromodomain and extra-terminal domain (BET) proteins, preventing them from binding acetylated lysines in histones to activate gene transcription. In published papers, apabetalone is reported to increase expression of ApoA-1 and suppress genes associated with kidney disease and vascular calcification ( McLure et al., 2013 ; Wasiak et al., 2018 ; Gilham et al., 2019 ).","Background Apabetalone binds and inhibits bromodomain and extra-terminal domain (BET) proteins, preventing them from binding acetylated lysines in histones to activate gene transcription. In published papers, apabetalone is reported to increase expression of ApoA-1 and suppress genes associated with kidney disease and vascular calcification ( McLure et al., 2013 ; Wasiak et al., 2018 ; Gilham et al., 2019 ). Apabetalone also reportedly suppresses expression of complement proteins ( Wasiak et al., 2017 ). In wild-type mice challenged with lipopolysaccharide, apabetalone suppressed pro-inflammatory cytokines, complement proteins, and endothelial cell adhesion markers ( May 2019 conference news) .","Overview Name: Apabetalone Synonyms: RVX208, RVX000222 Therapy Type: Small Molecule (timeline) Target Type: Other (timeline) Condition(s): MCI-VaD U.S. FDA Status: MCI-VaD (Phase 3) Company: Resverlogix Corporation",ongoing,3.0,True,,30 Apr 2020,https://www.alzforum.org/therapeutics/apabetalone
apnmab005,APNmAb005,https://www.alzforum.org/therapeutics/apnmab005,RAA7,Alzheimer's Disease (Phase 1),Aprinoia Therapeutics,Tau,Immunotherapy (passive),,?fda_statuses[]=181&target_types[]=177 | ?target_types[]=177 | ?fda_statuses[]=181&therapy_types[]=162 | ?therapy_types[]=162,Therapeutics,APNmAb005,RAA7,Immunotherapy (passive),Tau,Alzheimer's Disease,Alzheimer's Disease (Phase 1),Aprinoia Therapeutics,,"This is a humanized monoclonal anti-tau IgG antibody that recognizes a conformational epitope in tau oligomers. It was generated by immunizing mice with oligomers encapsulated in artificial lipid vesicles, in an effort to elicit antibodies that would bind to, and clear, tau oligomers from synapses.","Background This is a humanized monoclonal anti-tau IgG antibody that recognizes a conformational epitope in tau oligomers. It was generated by immunizing mice with oligomers encapsulated in artificial lipid vesicles, in an effort to elicit antibodies that would bind to, and clear, tau oligomers from synapses. According to data in a bioRxiv preprint from Aprinoia scientists, the mouse version of the antibody binds more avidly to tau in synaptosome and insoluble fractions of human brain extracts than to monomeric, cytosolic tau. The antibody reacted with tau aggregates from early stage AD cases, but not with tangles and neuropil threads that form later in the disease ( Tai et al., 2022 ). It recognized aggregates of both the 3R and 4R tau splice forms, including those in Pick’s disease, corticobasal degeneration, and progressive supranuclear palsy. In preclinical work reported in the same manuscript, the antibody reacted with tau aggregates in rTg4510 mice expressing P301L tau. The antibody recognized tau in distal neurites in young mice, and later, in cell bodies. APNmAb005 blocked the transmission of pathogenic tau in cells treated with rTg4510 mouse brain extracts. Twelve weeks of antibody injection partially rescued synaptic and neuronal loss in the hippocampus without changing overall tau levels.",Overview Name: APNmAb005 Synonyms: RAA7 Therapy Type: Immunotherapy (passive) (timeline) Target Type: Tau (timeline) Condition(s): Alzheimer's Disease U.S. FDA Status: Alzheimer's Disease (Phase 1) Company: Aprinoia Therapeutics,ongoing,1.0,False,,07 Feb 2023,https://www.alzforum.org/therapeutics/apnmab005
aqneursa,AQNEURSA,https://www.alzforum.org/therapeutics/aqneursa,"N-acetyl-L-leucine, NALL, IB1001, levacetylleucine","Niemann-Pick Diseases (Approved), Ataxia (Phase 3), Lysosomal Storage Diseases, Nervous System (Phase 2)",IntraBio,"Inflammation, Other",Small Molecule,Neurological symptoms of Niemann-Pick Disease Type C,?fda_statuses[]=182&target_types[]=173 | ?fda_statuses[]=183&target_types[]=173 | ?fda_statuses[]=184&target_types[]=173 | ?target_types[]=173 | ?fda_statuses[]=182&target_types[]=175 | ?fda_statuses[]=183&target_types[]=175 | ?fda_statuses[]=184&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=182&therapy_types[]=166 | ?fda_statuses[]=183&therapy_types[]=166 | ?fda_statuses[]=184&therapy_types[]=166 | ?therapy_types[]=166,Therapeutics,AQNEURSA,"N-acetyl-L-leucine, NALL, IB1001, levacetylleucine",Small Molecule,"Inflammation, Other","Niemann-Pick Diseases, Ataxia, Lysosomal Storage Diseases, Nervous System","Niemann-Pick Diseases (Approved), Ataxia (Phase 3), Lysosomal Storage Diseases, Nervous System (Phase 2)",IntraBio,Neurological symptoms of Niemann-Pick Disease Type C,"N-acetyl-L-leucine is a modified derivative and prodrug of the naturally occurring essential amino acid leucine. In September 2024, the FDA approved this formulation of the pure L-leucine isomer to treat neurologic symptoms of the lysosomal storage disease Niemann-Pick type C in adults and children.","Background N-acetyl-L-leucine is a modified derivative and prodrug of the naturally occurring essential amino acid leucine. In September 2024, the FDA approved this formulation of the pure L-leucine isomer to treat neurologic symptoms of the lysosomal storage disease Niemann-Pick type C in adults and children. NALL is currently in clinical trials for ataxia telangiectasia. N-acetylation of L-leucine allows the amino acid to more easily enter cells ( Churchill et al., 2021 ). The racemic mixture N-acetyl-DL-leucine has been used in France since the 1950s for the treatment of acute vertigo and dizziness, despite a lack of randomized clinical trials supporting its effectiveness ( Vanderkam et al., 2019 ). Anecdotal reports and case studies reporting improvements in movement, cognition, and quality of life in patients with Niemann-Pick type C (NPC) or cerebellar ataxias of varying etiologies spurred interest in repurposing this drug ( Bremova et al., 2015 ; Strupp et al., 2013 ). Other case series reported no benefit in cerebellar ataxia patients ( Pelz et al., 2015 ), or in people with multiple systems atrophy ( Scigliuolo et al., 2017 ). Additional anecdotes describe improved mobility, cognition, and mood in mentally healthy elderly people, that disappear when the drug is discontinued ( Platt and Strupp, 2016 ; Kolb, 2023 ). Symptomatic improvements and possible neuroprotection have also been reported in two people with REM sleep disorder, a prodrome of Parkinson’s disease ( Oertel et al., 2024 ; Balint and Bhatia, 2024 ), and in people with the movement disorder restless leg syndrome ( Fields et al., 2021 ). The mechanism of NALL in these conditions is unknown. Earlier preclinical work indicated that N-acetyl-DL-leucine was able to normalize activity in vestibular neurons responsible for balance. This gave rise to a theory that similarly normalizing cerebellar neuron activity could improve ataxia symptoms. In a mouse model of NPC, the L-enantiomer NALL, but not the D-version, significantly delayed the onset of gait abnormalities and motor dysfunction, slowed disease progression, reduced microgliosis, and survival ( Kaya et al., 2020 ). In a similar study of a mouse model of a lysosomal storage disease called Sandhoff’s, N-acetyl-dl-leucine improved motor function and slightly increased lifespan ( Kaya et al., 2020 ). In these models, NALL normalized glucose and glutamate metabolism, increased autophagy, increased levels of superoxide dismutase, and improved mitochondrial energy metabolism. NALL was investigated in other neurodegenerative conditions. In a mouse model of Parkinsonism, it alleviated motor deficits and was associated with neuroprotection and diminished neuroinflammation ( Xu et al., 2023 ). NALL prevented cortical cell death and neuroinflammation, and improved functional recovery, in a mouse model of traumatic brain injury ( Hegdekar et al., 2021 ).","Overview Name: AQNEURSA Synonyms: N-acetyl-L-leucine, NALL, IB1001, levacetylleucine Therapy Type: Small Molecule (timeline) Target Type: Inflammation (timeline) , Other (timeline) Condition(s): Niemann-Pick Diseases, Ataxia, Lysosomal Storage Diseases, Nervous System U.S. FDA Status: Niemann-Pick Diseases (Approved), Ataxia (Phase 3), Lysosomal Storage Diseases, Nervous System (Phase 2) Company: IntraBio Approved for: Neurological symptoms of Niemann-Pick Disease Type C",approved,3.0,True,,23 Jan 2025,https://www.alzforum.org/therapeutics/aqneursa
aqw051,AQW051,https://www.alzforum.org/therapeutics/aqw051,Alpha-7 nicotinic acetylcholine receptor agonist,"Alzheimer's Disease (Inactive), Parkinson's Disease (Phase 2), Schizophrenia (Phase 2)",Novartis Pharmaceuticals Corporation,Cholinergic System,Small Molecule,,?fda_statuses[]=182&target_types[]=172 | ?fda_statuses[]=190&target_types[]=172 | ?target_types[]=172 | ?fda_statuses[]=182&therapy_types[]=166 | ?fda_statuses[]=190&therapy_types[]=166 | ?therapy_types[]=166,Therapeutics,AQW051,Alpha-7 nicotinic acetylcholine receptor agonist,Small Molecule,Cholinergic System,"Alzheimer's Disease, Parkinson's Disease, Schizophrenia","Alzheimer's Disease (Inactive), Parkinson's Disease (Phase 2), Schizophrenia (Phase 2)",Novartis Pharmaceuticals Corporation,,"AQW 051 is an α7 nicotinic acetylcholine receptor (nAChR) agonist for the oral treatment of cognitive deficits in schizophrenia, Alzheimer's, and Parkinson's diseases. Very little is known about this drug.","Background AQW 051 is an α7 nicotinic acetylcholine receptor (nAChR) agonist for the oral treatment of cognitive deficits in schizophrenia, Alzheimer's, and Parkinson's diseases. Very little is known about this drug.","Overview Name: AQW051 Synonyms: Alpha-7 nicotinic acetylcholine receptor agonist Therapy Type: Small Molecule (timeline) Target Type: Cholinergic System (timeline) Condition(s): Alzheimer's Disease, Parkinson's Disease, Schizophrenia U.S. FDA Status: Alzheimer's Disease (Inactive), Parkinson's Disease (Phase 2), Schizophrenia (Phase 2) Company: Novartis Pharmaceuticals Corporation",ongoing,2.0,False,,24 Oct 2023,https://www.alzforum.org/therapeutics/aqw051
ar1001,AR1001,https://www.alzforum.org/therapeutics/ar1001,,Alzheimer's Disease (Phase 3),"Aribio Co., Ltd.",Other,Small Molecule,,?fda_statuses[]=183&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=183&therapy_types[]=166 | ?therapy_types[]=166,Therapeutics,AR1001,,Small Molecule,Other,Alzheimer's Disease,Alzheimer's Disease (Phase 3),"Aribio Co., Ltd.",,"Ar1001 is a selective inhibitor of phosphodiesterase 5. This new pyrrolo-pyrimidinone was first developed for treatment of erectile dysfunction in South Korea, and is now being tested for Alzheimer’s disease.","Background Ar1001 is a selective inhibitor of phosphodiesterase 5. This new pyrrolo-pyrimidinone was first developed for treatment of erectile dysfunction in South Korea, and is now being tested for Alzheimer’s disease. Its maker claims AR1001 to be 10-fold more potent at inhibiting PDE5, and better at entering the brain, than approved PDE5 inhibitors, including sildenafil. The rationale for using PDE5 inhibitors in AD stems from animal studies, where these compounds enhance memory and learning by increasing the intracellular messenger cGMP, and also possibly by improving blood supply to the brain. Several PDE5 inhibitors have been reported to curtail amyloid production, and to lessen neuroinflammation and learning and memory deficits in mouse models of AD (see review by Zuccarello et al., 2020 ). Three studies have reported PDE5 effects in people. Men being treated for erectile dysfunction with low doses of the PDE5 inhibitors tadalafil or udenafil daily for eight weeks improved performance on tests of cognition and cerebral blood flow, while a single dose of sildenafil improved brain blood supply in people with AD ( Choi et al., 2019 ; Shim et al., 2014 ; Sheng et al., 2017 ). A study of potential AD targets for drug repurposing has identified sildenafil, and a medical records analysis reported that men who used it lowered their risk of AD by 69 percent ( Fang et al. 2021 ). Other analyses found no such evidence ( Desai et al., 2022 ) The only public preclinical data on AR1001 was presented by Aribio at AAIC 2020, where the company reported reduced Aβ plaque deposition in 5XFAD mice, and improved memory in NSE/APP-C105 mice after treatment ( Kang et al., 2020 ). The company later published similar results using the approved PDE5 inhibitor mirodenafil ( Kang et al., 2022 ).","Overview Name: AR1001 Therapy Type: Small Molecule (timeline) Target Type: Other (timeline) Condition(s): Alzheimer's Disease U.S. FDA Status: Alzheimer's Disease (Phase 3) Company: Aribio Co., Ltd.",ongoing,3.0,True,,19 Dec 2023,https://www.alzforum.org/therapeutics/ar1001
arimoclomol,Arimoclomol,https://www.alzforum.org/therapeutics/arimoclomol,MiplyffaTM,"Niemann-Pick Diseases (Approved), Amyotrophic Lateral Sclerosis (Discontinued), Gaucher Disease (Discontinued)",Zevra Therapeutics,"Cholesterol, Other",Small Molecule,Niemann-Pick Disease Type C,?fda_statuses[]=184&target_types[]=171 | ?fda_statuses[]=189&target_types[]=171 | ?target_types[]=171 | ?fda_statuses[]=184&target_types[]=175 | ?fda_statuses[]=189&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=184&therapy_types[]=166 | ?fda_statuses[]=189&therapy_types[]=166 | ?therapy_types[]=166,Therapeutics,Arimoclomol,MiplyffaTM,Small Molecule,"Cholesterol, Other","Niemann-Pick Diseases, Amyotrophic Lateral Sclerosis, Gaucher Disease","Niemann-Pick Diseases (Approved), Amyotrophic Lateral Sclerosis (Discontinued), Gaucher Disease (Discontinued)",Zevra Therapeutics,Niemann-Pick Disease Type C,"Arimoclomol is a small molecule that improves lysosome function. By stimulating normal cellular protein processing and repair pathways, it affects protein aggregation and clearance of misfolded proteins.","Background Arimoclomol is a small molecule that improves lysosome function. By stimulating normal cellular protein processing and repair pathways, it affects protein aggregation and clearance of misfolded proteins. Its mechanism of action is not fully known, but has been proposed to start with increased translocation of the transcription factors TFEB and TFE3 from the cytoplasm to the nucleus, and to involve expression of heat shock proteins (e.g., Shammas et al., 2025 ). In September 2024, the FDA approved arimoclomol to treat the lysosomal-storage disease Niemann-Pick type C in adults and children. It is taken orally in combination with the lipid synthesis inhibitor miglustat, and enters the brain ( Keam 2025 ). Its prescribing information contains a warning of hypersensitivity reactions including hives and swelling under the skin. The most common side effects are upper respiratory tract infection, diarrhea, and weight loss. Arimoclomol is a hydroxylamine derivative, one of a group of compounds that act as co-inducers of heat-shock protein expression. In preclinical work, arimoclomol reduced symptoms and prolonged life in animal models of amyotrophic lateral sclerosis caused by SOD1, FUS, or valosin-containing protein mutation, as well as models of spinal muscular atrophy and NPC ( Kieran et al., 2004 ; Pelaez et al., 2024 ; Ahmed et al., 2023 ; Malik et al., 2013 ; Kirkegaard et al., 2016 ). It improved the folding, location, and activity of mutated beta-glucosidase enzyme in cells derived from people with the lysosome storage disorder Gaucher disease ( Fog et al., 2018 ). The compound ameliorated cytotoxicity in cell and mouse models of inclusion body myopathy ( Guettsches et al., 2022 ; Ahmed et al., 2016 ; Mar 2016 news ). In a C. elegans model of tau toxicity, arimoclomol restored normal movement and extended lifespan, and it partially normalized NPC1 expression and lysosomal cholesterol levels in presenilin knockout cells ( Stanley et al., 2024 ; Fabiano et al., 2024 ). A nanomicelle preparation of arimoclomol was reported to have beneficial effects in preclinical models of Alzheimer’s and Parkinson’s diseases ( Xavier-de-Britto et al., 2025 ). For a review, see Servín Muñoz, 2024 .","Overview Name: Arimoclomol Synonyms: MiplyffaTM Chemical Name: N-[(2R,Z)-2-hydroxy-3-(1-piperidyl)propoxy]pyridine-3-carboximidoyl chloride 1-oxide, citrate Therapy Type: Small Molecule (timeline) Target Type: Cholesterol, Other (timeline) Condition(s): Niemann-Pick Diseases, Amyotrophic Lateral Sclerosis, Gaucher Disease U.S. FDA Status: Niemann-Pick Diseases (Approved), Amyotrophic Lateral Sclerosis (Discontinued), Gaucher Disease (Discontinued) Company: Zevra Therapeutics Approved for: Niemann-Pick Disease Type C",approved,,False,,01 Jul 2025,https://www.alzforum.org/therapeutics/arimoclomol
aripiprazole,Aripiprazole,https://www.alzforum.org/therapeutics/aripiprazole,"Abilify, BMS-337039","Alzheimer's Disease (Phase 3), Schizophrenia (Approved)","Bristol-Myers Squibb, Otsuka Pharmaceutical Co., Ltd.",Other Neurotransmitters,Small Molecule,,?fda_statuses[]=183&target_types[]=176 | ?fda_statuses[]=184&target_types[]=176 | ?target_types[]=176 | ?fda_statuses[]=183&therapy_types[]=166 | ?fda_statuses[]=184&therapy_types[]=166 | ?therapy_types[]=166,Therapeutics,Aripiprazole,"Abilify, BMS-337039",Small Molecule,Other Neurotransmitters,"Alzheimer's Disease, Schizophrenia","Alzheimer's Disease (Phase 3), Schizophrenia (Approved)","Bristol-Myers Squibb, Otsuka Pharmaceutical Co., Ltd.",,"Aripiprazole is an antipsychotic medication that was FDA-approved in 2002 for the treatment of schizophrenia and is widely used for related affective disorders, as well. Generic versions started becoming available in 2015.","Background Aripiprazole is an antipsychotic medication that was FDA-approved in 2002 for the treatment of schizophrenia and is widely used for related affective disorders, as well. Generic versions started becoming available in 2015. This drug affects multiple receptors, acting as a partial agonist at dopamine and serotonin 1A receptors, and an antagonist at serotonin 2A, α 1 adrenergic, and other receptors. Aripiprazole has been investigated for its effects on psychosis in patients with moderate to advanced AD, and is currently being investigated for agitation in this population. In the 1990s and early 2000s, several different atypical antipsychotics drugs were being widely prescribed to AD patients to alleviate their symptoms of psychosis and agitation, particularly in nursing homes. Soon after aripiprazole's approval, studies reported increased mortality, stroke, and faster cognitive decline, and meta-analyses reported this to be a class effect of both typical and atypical antipsychotics in this population, triggering an FDA warning (see Oct 2005 news ). This led to calls for more research on treatment options for psychosis and agitation in AD (e.g. Ballard and Corbett, 2010 ). Aripiprazole is among the newer antipsychotic drugs with a lower side effect profile ( De Deyn et al., 2013 ).","Overview Name: Aripiprazole Synonyms: Abilify, BMS-337039 Therapy Type: Small Molecule (timeline) Target Type: Other Neurotransmitters (timeline) Condition(s): Alzheimer's Disease, Schizophrenia U.S. FDA Status: Alzheimer's Disease (Phase 3), Schizophrenia (Approved) Company: Bristol-Myers Squibb, Otsuka Pharmaceutical Co., Ltd.",approved,3.0,True,,18 Nov 2016,https://www.alzforum.org/therapeutics/aripiprazole
arv-102,ARV-102,https://www.alzforum.org/therapeutics/arv-102,,Parkinson's Disease (Phase 1),"Arvinas, Inc.",Other,Small Molecule,,?fda_statuses[]=181&target_types[]=175 | ?target_types[]=175 | ?fda_statuses[]=181&therapy_types[]=166 | ?therapy_types[]=166,Therapeutics,ARV-102,,Small Molecule,Other,Parkinson's Disease,Parkinson's Disease (Phase 1),"Arvinas, Inc.",,"ARV-102 is an oral, brain-penetrant small molecule that induces the degradation of leucine-rich repeat kinase 2 (LRRK2) protein. Increased LRRK2 expression and kinase activity impair lysosome function, promote neuroinflammation, and contribute to neurodegeneration and the pathogenesis of Parkinson’s disease.","Background ARV-102 is an oral, brain-penetrant small molecule that induces the degradation of leucine-rich repeat kinase 2 (LRRK2) protein. Increased LRRK2 expression and kinase activity impair lysosome function, promote neuroinflammation, and contribute to neurodegeneration and the pathogenesis of Parkinson’s disease. Genetic and preclinical data also implicate LRRK2 in the tauopathy progressive supranuclear palsy. A so-called proteolysis targeting chimera (PROTAC), ARV-102 is a bifunctional small molecule that binds to LRRK2 and an E3 ubiquitin ligase. It mediates formation of a trimeric complex that induces ubiquitination and subsequent proteasomal degradation of LRRK2. This aims to reduce kinase activity and also LRRK2’s protein-scaffolding functions. The ability to decrease LRRK2 protein levels distinguishes ARV-102 from DNL 151 , a LRRK2 kinase inhibitor in Phase 2 for Parkinson’s disease. ARV-102’s mechanism is comparable to the discontinued LLRK2 antisense oligomer ION859 . No preclinical work has been published on ARV-102. At the 2024 Michael J. Fox Foundation’s PD Therapeutics conference, a company presentation showed that the PROTAC caused degradation of LRRK2 and decreased phosphorylation of its substrate Rab10 in brain in a genetic mouse model of PD (Cacace 2024, see slides ). ARV-102 increased lysosome number and function in cells. In mouse tauopathy models, it reduced soluble tau aggregate formation. In nonhuman primates, ARV-102 given orally reduced LRRK2 levels by 83 percent or more in cortex, striatum and cerebellum, and in CSF. It normalized the lysosomal lipid bis(monoacylglycero) phosphate (BMP) in urine and CSF. A biomarker discovery program identified the inflammation marker IBA1, lysosomal marker cathepsin B, and lysosomal/inflammatory marker transmembrane glycoprotein NMB (GPNMB) as indicators of LRRK2 levels and activity in Parkinson’s patients. In the nonhuman primates, CSF levels of all were all reduced after a single oral dose of ARV-102. LRRK2 inhibitors have been reported to cause changes in lung tissue (e.g., Baptista et al., 2020 ; Miller et al., 2023 ). The company claimed, without showing data, that ARV-102 caused less severe lung effects than a LRRK2 inhibitor. Preclinical work has been published on other LRRK2 PROTACs, demonstrating potency, selectivity, and brain penetration ( Liu et al., 2022 ; Hatcher et al., 2023 ).","Overview Name: ARV-102 Therapy Type: Small Molecule (timeline) Target Type: Other (timeline) Condition(s): Parkinson's Disease U.S. FDA Status: Parkinson's Disease (Phase 1) Company: Arvinas, Inc.",ongoing,1.0,False,,19 Nov 2025,https://www.alzforum.org/therapeutics/arv-102
asn51,ASN51,https://www.alzforum.org/therapeutics/asn51,ASN121151,Alzheimer's Disease (Inactive),Asceneuron SA,Tau,Small Molecule,,?fda_statuses[]=190&target_types[]=177 | ?target_types[]=177 | ?fda_statuses[]=190&therapy_types[]=166 | ?therapy_types[]=166,Therapeutics,ASN51,ASN121151,Small Molecule,Tau,Alzheimer's Disease,Alzheimer's Disease (Inactive),Asceneuron SA,,"ASN51 is a small-molecule inhibitor of O-GlycNAcase (OGA), the glycoside hydrolase enzyme that removes O-linked N-acetylglucosamine (N-GlcNAc) from proteins. Asceneuron was developing ASN51 as a potential treatment for Alzheimer’s and Parkinson’s diseases.","Background ASN51 is a small-molecule inhibitor of O-GlycNAcase (OGA), the glycoside hydrolase enzyme that removes O-linked N-acetylglucosamine (N-GlcNAc) from proteins. Asceneuron was developing ASN51 as a potential treatment for Alzheimer’s and Parkinson’s diseases. It is a second-generation version of its lead OGH inhibitor, ASN120290 , which is intended to treat the rare tauopathy progressive supranuclear palsy. ASN51 is taken in capsule form. The rationale for targeting OGA originated in the observation that addition of N-GlcNAc to tau reduces its propensity to form toxic aggregates ( Gong et al., 2005 ; Liu et al., 2004 ). OGA inhibitors promote glycosylation, prevent aggregation, and appear to stabilize tau in a soluble, nonpathogenic form. O-GlcNAc modification was reported to reduce the aggregation and toxicity of the α-synuclein protein as well ( Marotta et al., 2015 ; Levine et al., 2019 ). This modification appears to promote formation of an α-synuclein fibril strain that does not propagate and is not neurotoxic in vivo ( Balana et al., 2024 ).Thus, OGA inhibitors could potentially slow or prevent the progression of neurodegeneration due to these proteins. No preclinical work is published on ASN51. However, Asceneuron has published data on ASN90 , their first-generation OGA inhibitor in development for the primary tauopathy progressive supranuclear palsy. In the P301S mouse model of tauopathy, daily oral dosing enhanced brain tau glycosylation, prevented the development of tau tangles, improved motor behavior and breathing, and increased survival ( Permanne et al., 2022 ). In this study, tau glycosylation in peripheral blood cells mirrored modification in the CNS, and thus was suggested as a potential pharmacodynamic marker of OGA inhibition for clinical trials. Also in this work, ASN90 was shown to enhance α-synuclein glycosylation, and slow the progression of motor impairment in a transgenic model of Parkinson’s disease. A different OGA inhibitor, thiamet G, has also been reported to increase glycosylated tau, reduce tau neurofibrillary tangle numbers, and decrease neuronal cell loss in three different mouse strains expressing P301L mutant human tau ( Yuzwa et al., 2012 ; Graham et al., 2014 ; Hastings et al., 2017 ). One lab found that thiamet G treatment resulted in better motor skills, higher body weight, and longer lifespan ( Borghgraef et al., 2013 ). Thiamet G or OGA knockdown was also shown to reduce the uptake of synuclein fibrils by cells ( Tavassoly et al., 2020 ). Fibril uptake is a proposed mechanism for the spread of α-synuclein pathology in the brain.",Overview Name: ASN51 Synonyms: ASN121151 Therapy Type: Small Molecule (timeline) Target Type: Tau (timeline) Condition(s): Alzheimer's Disease U.S. FDA Status: Alzheimer's Disease (Inactive) Company: Asceneuron SA,unknown,,False,,12 Mar 2025,https://www.alzforum.org/therapeutics/asn51
asn90,ASN90,https://www.alzforum.org/therapeutics/asn90,"ASN120290, ASN-561",Progressive Supranuclear Palsy (Phase 1),Asceneuron SA,Tau,Small Molecule,,?fda_statuses[]=181&target_types[]=177 | ?target_types[]=177 | ?fda_statuses[]=181&therapy_types[]=166 | ?therapy_types[]=166,Therapeutics,ASN90,"ASN120290, ASN-561",Small Molecule,Tau,Progressive Supranuclear Palsy,Progressive Supranuclear Palsy (Phase 1),Asceneuron SA,,"ASN90 is an inhibitor of O-GlcNAcase, the glycoside hydrolase enzyme that removes O-linked N-acetylglucosamine (N-GlcNAc) from proteins. The function of numerous proteins is regulated by O-linked glycosylation of serine and threonine residues, which is reversed by O-GlcNAcase.","Background ASN90 is an inhibitor of O-GlcNAcase, the glycoside hydrolase enzyme that removes O-linked N-acetylglucosamine (N-GlcNAc) from proteins. The function of numerous proteins is regulated by O-linked glycosylation of serine and threonine residues, which is reversed by O-GlcNAcase. N-GlcNAcylation of the microtubule-associated protein tau reduces its propensity to form toxic aggregates ( Gong et al., 2005 ; Liu et al., 2004 ). A similar anti-aggregation effect of O-GlcNAc modification was recently reported for α-synuclein protein ( Levine et al., 2019 ). By increasing tau glycosylation, inhibitors of the O-GlcNAcase enzyme (OGA) appear to stabilize tau in a soluble, non-pathogenic form. In two different mouse strains expressing P301L mutant human tau, the OGA inhibitor thiamet G was reported to increase N-GlcNAc-modified tau, reduce tau neurofibrillary tangle numbers, and decrease neuronal cell loss ( Yuzwa et al., 2012 ; Graham et al., 2014 ; Hastings et al., 2017 ). One lab found that thiamet G treatment of a third mutant tau strain resulted in better motor skills, higher body weight, and longer lifespan ( Borghgraef et al., 2013 ). In preclinical work, daily oral dosing with ASN90 in P301S tau transgenic mice enhanced brain tau glycosylation, prevented the development of tau tangles, improved motor behavior and breathing, and prolonged survival ( Permanne et al., 2022 ). In this study, tau glycosylation in peripheral blood cells mirrored modification in the CNS, and thus was suggested as a potential pharmacodynamic marker of OGA inhibition for clinical trials. Also in this work, ASN90 was shown to enhance α-synuclein glycosylation, and slow the progression of motor impairment in a transgenic model of Parkinson’s disease. ASN90 is being developed as a potential treatment for progressive supranuclear palsy and other tau-related dementias.","Overview Name: ASN90 Synonyms: ASN120290, ASN-561 Therapy Type: Small Molecule (timeline) Target Type: Tau (timeline) Condition(s): Progressive Supranuclear Palsy U.S. FDA Status: Progressive Supranuclear Palsy (Phase 1) Company: Asceneuron SA",ongoing,1.0,False,,15 Dec 2022,https://www.alzforum.org/therapeutics/asn90
atabecestat,Atabecestat,https://www.alzforum.org/therapeutics/atabecestat,"JNJ-54861911 , BACE inhibitor",Alzheimer's Disease (Discontinued),"Janssen, Shionogi Pharma",Amyloid-Related,Small Molecule,,?fda_statuses[]=189&target_types[]=170 | ?target_types[]=170 | ?fda_statuses[]=189&therapy_types[]=166 | ?therapy_types[]=166,Therapeutics,Atabecestat,"JNJ-54861911 , BACE inhibitor",Small Molecule,Amyloid-Related,Alzheimer's Disease,Alzheimer's Disease (Discontinued),"Janssen, Shionogi Pharma",,"This is a tablet drug affecting amyloid precursor protein (APP) and its processing products. It inhibits APP cleavage by the enzyme BACE, the rate-limiting step in Aβ generation.","Background This is a tablet drug affecting amyloid precursor protein (APP) and its processing products. It inhibits APP cleavage by the enzyme BACE, the rate-limiting step in Aβ generation. The rationale of BACE inhibition is that it represents an upstream interference with the amyloid cascade. BACE inhibition is sometimes envisioned as long-term maintenance therapy to limit Aβ production after an initial round of immunotherapy to remove existing amyloid deposits. In 2012, Janssen licensed this thiazine-based small-molecule compound from Shionogi, which had discovered and conducted preclinical research on it, ( Koriyama et al., 2021 ).","Overview Name: Atabecestat Synonyms: JNJ-54861911 , BACE inhibitor Therapy Type: Small Molecule (timeline) Target Type: Amyloid-Related (timeline) Condition(s): Alzheimer's Disease U.S. FDA Status: Alzheimer's Disease (Discontinued) Company: Janssen, Shionogi Pharma",discontinued,23.0,False,3.0,18 Feb 2021,https://www.alzforum.org/therapeutics/atabecestat
